"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"brentford","1954-55","third division south","31","15","6","1","-","-","37","16"
"brentford","1955-56","third division south","39","21","2","1","-","-","41","22"
"brentford","1956-57","third division south","24","12","1","1","-","-","25","13"
"brentford","1957-58","third division south","36","29","0","0","-","-","36","29"
"brentford","1958-59","third division","46","32","4","5","-","-","50","37"
"brentford","1959-60","third division","44","23","2","1","-","-","46","24"
"brentford","1960-61","third division","42","21","2","0","3","1","47","22"
"brentford","total","total","262","153","17","9","3","1","282","163"
"queens park rangers","1961-62","third division","27","15","3","0","2","1","32","16"
"millwall","1962-63","third division","19","7","1","0","1","1","21","8"
"gillingham","1962-63","fourth division","8","6","-","-","8","6","none","none"
"career total","career total","career total","316","181","21","9","6","3","343","193"
