"religion","1992","1992","2001","2001","2011","2011"
"religion","number","%","number","%","number","%"
"christianity","7,350,016","86.6","6,638,870","83.73","4,487,554","60.9"
"-bulgarian orthodox church","7,274,479","85.71","6,552,751","82.64","4,374,135","59.4"
"-protestantism","22,067","0.26","42,308","0.53","64,476","0.9"
"-catholic church","53,470","0.63","43,811","0.55","48,945","0.7"
"islam","1,111,838","13.1","966,978","12.2","577,139","7.9"
"other","11,882","0.14","14,937","0.19","11,444","0.1"
"no religion","none","none","308.116","3.88","682,162","9.3"
"no answer","none","none","none","none","1,606,269","21.8"
"total population","8,487,317","100.0","7,928,901","100.0","7,364,570","100.0"
