"","'databases' share of production activities","investment in 'databases'","investment in 'databases'","investment in 'databases'","investment in 'databases'"
"","2005 to 2018","2005","2010","2015","2018"
"","percent","millions of dollars","millions of dollars","millions of dollars","millions of dollars"
"total of all occupational groups","","","","",""
"lower range value","..","3,087","4,143","5,945","8,046"
"upper range value","..","4,564","6,104","8,599","11,625"
"computer and information systems managers","","","","",""
"lower range value","30","1,880","2,527","3,345","4,555"
"upper range value","50","3,133","4,211","5,574","7,591"
"database analysts and data administrators","","","","",""
"lower range value","90","1,045","1,444","2,357","3,212"
"upper range value","100","1,162","1,604","2,619","3,569"
"information systems testing technicians","","","","",""
"lower range value","30","161","173","244","279"
"upper range value","50","269","289","406","466"
"","percent","percent","percent","percent","percent"
"annual growth rate","","","","",""
"lower range value","..","..","6.1","7.5","10.6"
"upper range value","..","..","6.0","7.1","10.6"
