"state","r&d performed and paid for by the company ($millions)","largest r&d industry in region","largest industry's share of state's r&d","ict industries' share of state's r&d"
"united states","264913","pharmaceuticals and medicines","17","46"
"california","76851","semiconductor and other electronic components","20","67"
"michigan","14409","automobiles, bodies, trailers, and parts","74","4"
"massachusetts","14000","pharmaceuticals and medicines","38","43"
"washington","13996","software publishers","62","75"
"texas","13406","mining, extraction, and support activities","20","53"
"illinois","11961","pharmaceuticals and medicines","34","18"
"new jersey","11955","pharmaceuticals and medicines","53","18"
"pennsylvania","10001","pharmaceuticals and medicines","48","23"
"new york","9456","software publishers","23","48"
"minnesota","6057","medical equipment and supplies","39","27"
