"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"year","team","g","gs","att","comp","perc","yards","td","int","rate","att","yds","avg","td","lg","rec","yds","avg","td","lg"
"1941","gnb","9","4","16","4","25.0%","54","2","0","80.7","43","137","3.2","3","16","0","0","0","0","0"
"1942","gnb","11","5","59","24","40.7%","310","3","4","46.6","89","272","3.1","3","50","10","66","6.6","0","15"
"1943","gnb","10","8","129","56","43.4%","875","9","12","51.0","94","489","5.2","3","35","3","31","10.3","2","15"
"1944","gnb","3","0","20","9","45.0%","89","0","0","58.1","31","149","4.8","0","34","1","12","12.0","0","12"
"1945","gnb","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii","did not play due to service in world war ii"
"1946","gnb","11","5","27","7","25.9%","189","1","3","29.0","122","476","3.9","0","27","2","25","12.5","0","15"
"1947","gnb","12","6","8","3","37.5%","101","1","1","85.4","103","464","4.5","2","35","0","0","0","0","0"
"1948","gnb","12","9","8","2","25.0%","24","0","0","39.6","123","589","4.8","4","49","9","81","9.0","0","32"
"1949","gnb","12","12","0","0","0%","0","0","0","0","208","1,052","5.1","4","54","3","2","0.7","0","3"
"1950","gnb","12","7","0","0","0%","0","0","0","0","93","247","2.7","4","15","10","54","5.4","0","20"
"1951","gnb","12","12","0","0","0%","0","0","0","0","54","131","2.4","1","15","22","226","10.3","2","46"
"1952","gnb","12","12","1","0","0%","0","0","0","39.6","65","191","2.9","2","35","9","86","9.6","1","21"
"total","total","116","80","268","105","39.2%","1,642","16","20","49.1","1,025","4,197","4.1","26","54","69","579","8.4","5","46"
"source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com","source: pro-football-reference.com"
