"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"scunthorpe united","1964-65","third division","12","0","0","0","0","0","12","0"
"scunthorpe united","1965-66","third division","45","7","3","1","1","0","49","8"
"scunthorpe united","1966-67","third division","25","5","2","1","1","0","28","6"
"scunthorpe united","total","total","82","12","3","1","2","0","87","14"
"grimsby town","1966-67","third division","22","0","0","0","0","0","22","0"
"grimsby town","1967-68","third division","30","1","2","0","2","0","34","1"
"grimsby town","total","total","52","1","2","0","2","0","56","1"
"brighton & hove albion","1968-69","third division","30","1","3","0","0","0","33","1"
"brighton & hove albion","1969-70","third division","23","1","0","0","3","0","26","1"
"brighton & hove albion","1970-71","third division","22","0","3","0","1","0","26","0"
"brighton & hove albion","total","total","75","2","6","0","4","0","85","2"
"chester city","1971-72","fourth division","2","0","0","0","0","0","2","0"
"hartlepool united","1971-72","fourth division","32","2","2","0","0","0","34","2"
"hartlepool united","1972-73","fourth division","37","5","3","0","2","1","42","6"
"hartlepool united","total","total","69","7","5","0","2","1","76","8"
"bury","1973-74","fourth division","0","0","0","0","1","0","1","0"
"career total","career total","career total","280","22","16","1","11","1","307","24"
