"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"newcastle united","1984-85","first division","1","0","0","0","0","0","1","0"
"newcastle united","1985-86","first division","3","1","0","0","0","0","3","1"
"newcastle united","1986-87","first division","5","1","0","0","1","0","6","1"
"newcastle united","total","total","9","2","0","0","1","0","10","2"
"swansea city","1987-88","fourth division","32","12","2","0","4","1","38","13"
"swansea city","1988-89","third division","2","0","0","0","0","0","2","0"
"swansea city","total","total","34","12","2","0","4","1","40","13"
"hartlepool united","1988-89","fourth division","21","3","4","2","2","0","27","5"
"hartlepool united","1989-90","fourth division","45","17","1","0","3","0","49","17"
"hartlepool united","1990-91","fourth division","46","28","2","3","7","4","55","35"
"hartlepool united","total","total","112","48","7","5","12","4","131","57"
"chelsea","1991-92","first division","11","2","0","0","7","1","18","3"
"chelsea","1992-93","premier league","3","0","0","0","0","0","3","0"
"chelsea","total","total","14","2","0","0","7","1","21","3"
"port vale","1991-92","second division","6","0","0","0","0","0","6","0"
"brentford","1992-93","first division","24","6","1","0","5","5","30","11"
"brentford","1993-94","second division","21","13","1","2","4","2","26","17"
"brentford","total","total","45","19","2","2","9","7","56","28"
"southend united","1993-94","first division","3","0","0","0","0","0","3","0"
"port vale","1993-94","second division","4","2","0","0","0","0","4","2"
"port vale","1994-95","first division","19","7","2","1","1","0","22","8"
"port vale","total","total","23","9","2","1","1","0","26","10"
"lincoln city","1995-96","third division","4","0","0","0","1","0","5","0"
"hartlepool united","1995-96","third division","22","8","0","0","2","1","24","9"
"hartlepool united","1995-96","third division","30","9","1","0","3","2","34","11"
"hartlepool united","1995-96","third division","4","2","0","0","1","0","5","2"
"hartlepool united","total","total","56","19","1","0","6","3","63","22"
"career total","career total","career total","306","111","14","8","41","16","361","135"
