"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"vllaznia shkoder","2007-08","albanian superliga","4","0","0","0","-","-","4","0","none","none"
"vllaznia shkoder","2008-09","albanian superliga","1","0","2","1","0","0","-","-","3","1"
"vllaznia shkoder","2009-10","albanian superliga","2","0","2","0","0","0","-","-","4","0"
"vllaznia shkoder","2010-11","albanian superliga","27","0","3","0","-","-","30","0","none","none"
"vllaznia shkoder","2011-12","albanian superliga","7","1","7","2","4","0","-","-","23","1"
"vllaznia shkoder","total","total","41","1","13","3","4","0","-","-","59","4"
"litex lovech","2012-13","first league","9","0","0","0","-","-","9","0","none","none"
"ceahlaul","2013-14","liga i","1","0","1","0","-","-","2","0","none","none"
"poli timisoara","2013-14","liga i","5","0","0","0","-","-","5","0","none","none"
"kukesi","2014-15","albanian superliga","26","0","7","2","-","-","33","2","none","none"
"kukesi","2015-16","albanian superliga","22","5","4","1","6","0","-","-","32","6"
"kukesi","2016-17","albanian superliga","19","0","2","0","0","0","1","0","22","0"
"kukesi","total","total","67","5","13","3","6","0","1","0","87","8"
"vllaznia shkoder","2017-18","albanian superliga","14","2","1","0","-","-","15","2","none","none"
"sepahan","2017-18","persian gulf pro league","6","0","0","0","-","-","6","0","none","none"
"tirana","2018-19","albanian superliga","0","0","0","0","-","-","0","0","none","none"
"career total","career total","career total","143","8","28","6","10","0","1","0","182","14"
