"league","club","season","league","league","league","playoffs","playoffs","total","total"
"league","club","season","apps","assists","goals","apps","goals","apps","goals"
"ncaa","baylor university","2015","18","1","5","0","0","18","5"
"ncaa","baylor university","2016","18","5","3","2","0","20","3"
"ncaa","baylor university","2017","20","4","2","4","2","24","4"
"ncaa","baylor university","2018","22","3","8","4","1","26","3"
"ncaa","baylor university","total","78","13","17","10","3","88","20"
"nwsl","sky blue fc","2019","1","0","0","","","1","0"
"nwsl","sky blue fc","total","1","0","0","0","0","1","0"
"wpsl","fc dallas","2018","2","0","2","","","2","2"
"wpsl","fc dallas","total","2","0","2","0","0","2","2"
"career total","career total","career total","81","13","19","10","4","91","22"
