"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"wolverhampton wanderers","1977-78","first division","20","1","3","0","0","0","23","1"
"wolverhampton wanderers","1978-79","first division","13","0","0","0","0","0","13","0"
"wolverhampton wanderers","total","total","33","1","3","0","0","0","36","1"
"queens park rangers","1979-80","second division","29","1","1","1","4","0","34","2"
"queens park rangers","1980-81","second division","8","2","0","0","2","0","10","2"
"queens park rangers","1981-82","second division","24","2","4","0","4","0","32","2"
"queens park rangers","1982-83","second division","39","3","1","0","2","0","42","3"
"queens park rangers","1983-84","first division","6","0","0","0","0","0","6","0"
"queens park rangers","total","total","106","8","6","1","12","0","124","9"
"leicester city","1983-84","first division","27","2","1","0","2","0","30","2"
"leicester city","1984-85","first division","14","0","0","0","2","0","16","0"
"leicester city","total","total","41","2","1","0","4","0","46","2"
"wolverhampton wanderers","1985-86","third division","1","0","0","0","0","0","1","0"
"reading","1986-87","second division","4","1","0","0","1","0","5","1"
"port vale","1986-87","third division","21","1","0","0","3","1","24","2"
"port vale","1987-88","third division","43","0","6","0","3","0","52","0"
"port vale","1988-89","third division","17","0","3","0","4","0","24","0"
"port vale","total","total","81","1","9","0","10","1","100","2"
"career total","career total","career total","266","13","19","1","27","1","312","15"
