"ffrdc","2010","2010","2010","2011a","2011a","2011a","2012","2012","2012"
"ffrdc","total","funded by arra","funded by arra","total","funded by arra","funded by arra","total","funded by arra","funded by arra"
"ffrdc","total","amount","percent","total","amount","percent","total","amount","percent"
"all ffrdcs","18044105","1048028","5.8","17808614","771602","4.3","17446036","352251","2"
"aerospace ffrdc","44149","0","0","45827","0","0","39746","0","0"
"ames lab","30836","30","0.1","32442","311","1","33853","257","0.8"
"argonne national lab","650504","77017","11.8","710435","70627","9.9","679387","27426","4"
"arroyo ctr","28647","0","0","32180","0","0","31278","0","0"
"brookhaven national lab","535546","49712","9.3","526571","98108","18.6","516921","5656","1.1"
"ctr. for advanced aviation system development","149686","0","0","165645","0","0","159311","0","0"
"ctr. for communications and computing","71927","0","0","72600","0","0","62600","0","0"
"ctr. for enterprise modernization","170460","401","0.2","187785","2783","1.5","226539","928","0.4"
"ctr. for naval analyses","109068","0","0","85165","0","0","91628","0","0"
"ctr. for nuclear waste regulatory analyses","15346","0","0","16377","0","0","13147","0","0"
"fermi national accelerator lab","402658","19474","4.8","420119","26042","6.2","412438","23982","5.8"
"frederick national lab. for cancer research","643935","183335","28.5","431600","0","0","430100","0","0"
"homeland security studies and analysis institute","33402","0","0","36870","0","0","30213","0","0"
"homeland security systems engineering and development institute","58715","0","0","85154","0","0","77159","0","0"
"id national lab","478356","3536","0.7","425072","4363","1","536399","5653","1.1"
"jet propulsion lab","1640341","101205","6.2","1543969","24543","1.6","1493613","3746","0.3"
"judiciary engineering and modernization ctr.b","na","na","na","4650","0","0","5309","0","0"
"lawrence berkeley national lab","759381","80399","10.6","788386","89212","11.3","767554","55262","7.2"
"lawrence livermore national lab","1370747","3624","0.3","1424993","6237","0.4","1353454","6170","0.5"
"lincoln lab","789502","na","na","822358","0","0","873104","272","0"
"los alamos national lab","2505913","139376","5.6","2307197","101814","4.4","2056878","13663","0.7"
"national astronomy and ionosphere ctr.c","13203","0","0","14317","0","0","na","na","na"
"national biodefense analysis and countermeasures ctr","50058","0","0","41786","0","0","31201","0","0"
"national ctr. for atmospheric research","220328","464","0.2","198231","143","0.1","169743","132","0.1"
"national defense research institute","51652","0","0","46330","0","0","53832","0","0"
"national optical astronomy observatories","57145","9125","16","47889","56","0.1","46557","2216","4.8"
"national radio astronomy observatory","137607","2539","1.8","81305","2461","3","79168","886","1.1"
"national renewable energy lab","326652","36383","11.1","386539","44063","11.4","398873","26984","6.8"
"national security engineering ctr","925027","0","0","941187","0","0","946737","0","0"
"oak ridge national lab","1538412","134856","8.8","1558073","88611","5.7","1553460","95600","6.2"
"pacific northwest national lab","1116648","112870","10.1","1095923","115508","10.5","1033768","59750","5.8"
"princeton plasma physics lab","83932","6132","7.3","84863","4711","5.6","81389","778","1"
"project air force","43957","0","0","44171","0","0","41031","0","0"
"sandia national labs","2157022","14073","0.7","2277166","12008","0.5","2293307","5056","0.2"
"savannah river national lab","127160","17175","13.5","134530","9961","7.4","132357","2158","1.6"
"science and technology policy institute","6000","0","0","8700","0","0","7547","0","0"
"slac national accelerator lab","354393","32796","9.3","327716","46520","14.2","329747","8564","2.6"
"software engineering institute","99334","12","0","107837","26","0","113371","65","0.1"
"studies and analyses ctr","156000","0","0","156200","0","0","149150","0","0"
"thomas jefferson national accelerator facility","90456","23494","26","90456","23494","26","94167","7047","7.5"
