"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"all boys","2014","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"all boys","2015","primera b nacional","10","0","0","0","-","-","0","0","10","0"
"all boys","2016","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"all boys","2016-17","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"all boys","total","total","15","0","0","0","-","-","0","0","15","0"
"comerciantes unidos","2016","peruvian primera division","31","4","-","-","0","0","31","4","none","none"
"atletico de rafaela","2017-18","primera b nacional","23","2","0","0","-","-","0","0","23","2"
"3 de febrero","2018","paraguayan primera division","1","0","0","0","-","-","0","0","1","0"
"gimnasia y esgrima","2018-19","primera b nacional","8","0","0","0","-","-","0","0","8","0"
"career total","career total","career total","78","6","0","0","-","-","0","0","78","6"
