"country of birth","economic immigrants","economic immigrants","economic immigrants","family-sponsored immigrants","refugees","other immigrants","total"
"country of birth","principal applicants","secondary applicants","total","family-sponsored immigrants","refugees","other immigrants","total"
"country of birth","percent","percent","percent","percent","percent","percent","percent"
"women","","","","","","",""
"jamaica","31.2","9.0","40.2","55.9","2.0","2.0","100.0"
"haiti","26.3","12.5","38.8","35.8","18.6","6.8","100.0"
"trinidad and tobago","32.9","10.0","42.9","50.7","2.8","3.5","100.0"
"guyana","23.0","11.4","34.4","57.7","3.8","4.2","100.0"
"barbados","38.1","6.1","44.2","47.6","2.7","5.6","100.0"
"saint vincent and the grenadines","15.4","1.0","16.4","38.7","26.2","18.7","100.0"
"grenada","27.9","2.8","30.7","44.3","7.8","17.2","100.0"
"saint lucia","16.9","3.8","20.7","37.0","25.6","16.7","100.0"
"other countries","33.3","11.0","44.2","45.3","6.7","3.8","100.0"
"total","27.7","9.5","37.2","45.0","11.3","6.5","100.0"
"men","","","","","","",""
"jamaica","17.1","6.5","23.6","72.8","1.9","1.6","100.0"
"haiti","29.7","8.9","38.5","39.1","16.1","6.3","100.0"
"trinidad and tobago","19.0","4.3","23.4","71.8","1.9","2.9","100.0"
"guyana","16.8","7.8","24.7","70.8","1.2","3.3","100.0"
"barbados","18.1","1.9","20.0","77.4","1.9","0.6","100.0"
"saint vincent and the grenadines","8.4","1.7","10.2","68.9","11.9","8.9","100.0"
"grenada","13.9","3.9","17.9","69.9","4.6","7.6","100.0"
"saint lucia","9.4","2.6","12.0","67.6","14.7","5.7","100.0"
"other countries","22.4","4.9","27.3","61.4","9.6","1.7","100.0"
"total","21.9","6.9","28.7","58.6","8.6","4.1","100.0"
