"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"25 de mayo","2015","torneo federal b","9","0","0","0","-","-","0","0","9","0"
"cipolletti","2016","torneo federal a","5","0","0","0","-","-","0","0","5","0"
"cipolletti","2016-17","torneo federal a","14","4","2","2","-","-","0","0","16","6"
"cipolletti","total","total","19","4","2","2","-","-","0","0","21","6"
"newell's old boys","2017-18","primera division","6","0","1","0","1","0","0","0","8","0"
"newell's old boys","2018-19","primera division","0","0","0","0","-","-","0","0","0","0"
"newell's old boys","total","total","6","0","1","0","1","0","0","0","8","0"
"san martin","2018-19","primera division","0","0","0","0","-","-","0","0","0","0"
"cipolletti","2018-19","torneo federal a","0","0","-","-","0","0","0","0","none","none"
"career total","career total","career total","34","4","3","2","1","0","0","0","38","6"
