"","population of canada","percentage of the canadian population","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type","percentage of the canadian population by delivery mode type"
"","population of canada","percentage of the canadian population","a","b","e","g","h","j","k","m","t","rural","z","missing"
"","number","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"canada","35,151,700","100.00","70.59","9.78","0.13","0.21","1.19","0.00","0.35","0.02","0.59","16.74","0.28","0.11"
"province or territory","","","","","","","","","","","","","",""
"newfoundland and labrador","519,700","1.48","51.83","0.73","0.02","0.08","1.45","0.00","0.61","0.01","0.20","44.68","0.08","0.31"
"prince edward island","142,900","0.41","44.96","1.66","0.00","0.01","1.55","0.00","0.55","0.01","0.00","50.85","0.00","0.41"
"nova scotia","923,600","2.63","59.17","6.70","0.12","0.11","2.54","0.00","0.41","0.00","0.00","30.68","0.08","0.18"
"new brunswick","747,100","2.13","96.12","2.40","0.17","0.11","0.00","0.02","0.16","0.00","0.01","0.00","0.76","0.24"
"quebec","8,164,400","23.23","75.34","4.51","0.08","0.24","0.41","0.00","0.06","0.01","1.14","18.13","0.06","0.02"
"ontario","13,448,500","38.26","68.21","14.48","0.16","0.23","1.96","0.00","0.14","0.01","0.75","13.74","0.20","0.12"
"manitoba","1,278,400","3.64","62.11","6.86","0.03","0.35","1.43","0.01","0.77","0.03","0.03","27.89","0.32","0.17"
"saskatchewan","1,098,500","3.12","52.56","3.36","0.02","0.20","1.54","0.00","1.10","0.09","0.14","40.31","0.39","0.29"
"alberta","4,067,000","11.57","74.49","7.39","0.16","0.09","1.20","0.01","1.17","0.04","0.09","14.63","0.53","0.20"
"british columbia","4,648,100","13.22","74.25","13.10","0.18","0.16","0.12","0.01","0.36","0.01","0.18","10.93","0.67","0.04"
"yukon","35,900","0.10","65.67","2.55","0.01","0.26","0.10","0.00","8.17","0.00","0.00","22.84","0.03","0.39"
"northwest territories","41,800","0.12","34.42","4.65","0.23","3.97","0.00","0.00","4.58","0.04","0.00","52.01","0.09","0.00"
"nunavut","35,900","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","0.00","0.00"
"population centre or rural area type","","","","","","","","","","","","","",""
"core","24,401,500","69.42","84.53","13.65","0.16","0.23","0.14","0.00","0.07","0.01","0.19","0.70","0.27","0.05"
"fringe","1,102,800","3.14","61.72","1.75","0.03","0.16","0.41","0.01","0.61","0.00","0.18","34.91","0.15","0.07"
"rural area inside a cma or ca","2,543,100","7.23","46.77","0.84","0.01","0.03","7.21","0.00","1.03","0.05","4.27","38.57","0.85","0.38"
"population centre outside a cma or ca","1,814,700","5.16","38.00","0.92","0.08","0.15","0.75","0.02","1.27","0.06","0.13","58.31","0.07","0.25"
"rural area outside a cma or ca","4,069,800","11.58","13.12","0.08","0.00","0.01","4.37","0.01","1.16","0.00","1.14","79.66","0.18","0.27"
"secondary core","1,204,700","3.43","90.66","3.95","0.11","0.13","0.63","0.00","0.20","0.01","0.22","3.84","0.16","0.07"
"missing","15,100","0.04","0.00","0.00","30.23","54.07","0.03","0.10","2.16","7.28","0.09","5.94","0.03","0.07"
