"no","pos","nat","player","total","total","third division","third division","fa cup","fa cup","league cup","league cup","football league trophy","football league trophy","football league play-offs","football league play-offs"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","canada","garrett caldwell","1","0","0","0","0","0","0","0","1","0","0","0"
"none","gk","england","carl emberson","49","0","41","0","1","0","2","0","3","0","2","0"
"none","df","england","simon betts","54","7","45","5","1","0","2","0","4","2","2","0"
"none","df","england","gus caesar","29","2","23","2","1","0","2","0","1","0","2","0"
"none","df","england","peter cawley","50","2","42","1","1","0","2","0","3","1","2","0"
"none","df","republic of ireland","joe dunne","5","1","2+3","1","0","0","0","0","0","0","0","0"
"none","df","england","tony english","28","0","20+1","0","1","0","2","0","3+1","0","0","0"
"none","df","england","paul gibbs","28","3","13+11","3","0+1","0","0","0","1","0","2","0"
"none","df","england","ben lewis","3","0","1+1","0","0","0","0","0","1","0","0","0"
"none","df","republic of ireland","tony mccarthy","53","0","44","0","1","0","2","0","4","0","2","0"
"none","mf","england","steve ball","10","1","6+2","1","0","0","0","0","1+1","0","0","0"
"none","mf","england","tony dennis","36","3","24+8","3","0","0","0","0","1+1","0","2","0"
"none","mf","england","karl duguid","17","1","7+9","1","0","0","0","0","0+1","0","0","0"
"none","mf","wales","chris fry","46","2","35+3","2","1","0","0+1","0","4","0","2","0"
"none","mf","england","david gregory","10","0","7+3","0","0","0","0","0","0","0","0","0"
"none","mf","republic of ireland","mark kinsella","54","9","45","5","1","0","2","1","4","1","2","2"
"none","mf","england","adam locke","31","3","22+3","3","0","0","2","0","2","0","0+2","0"
"none","fw","england","tony adcock","48","17","41","12","1","0","2","1","3","4","0+1","0"
"none","fw","england","robbie reinelt","26","8","12+10","7","0","0","0+1","1","1","0","2","0"
"none","fw","england","steve whitton","16","2","10+2","2","0","0","2","0","0","0","0+2","0"
"players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season","players who appeared for colchester who left during the season"
"none","gk","australia","andy petterson","5","0","5","0","0","0","0","0","0","0","0","0"
"none","df","republic of ireland","david greene","16","1","14","1","0","0","0","0","2","0","0","0"
"none","mf","england","robert boyce","2","0","0+2","0","0","0","0","0","0","0","0","0"
"none","mf","england","michael cheetham","34","3","25+3","2","1","0","2","1","3","0","0","0"
"none","fw","england","paul abrahams","9","2","8","2","0","0","0","0","1","0","0","0"
"none","fw","england","steve mardenborough","14","2","4+8","2","1","0","0","0","1","0","0","0"
"none","fw","england","scott mcgleish","17","6","10+5","6","0","0","0","0","0","0","2","0"
