"period","at birth","at birth","at birth","at age 65","at age 65","at age 65","at age 85","at age 85","at age 85"
"period","males","females","both sexes","males","females","both sexes","males","females","both sexes"
"period","in years","in years","in years","in years","in years","in years","in years","in years","in years"
"2005/2007","78.1","82.7","80.5","17.9","21.0","19.6","5.7","7.1","6.6"
"2006/2008","78.3","82.9","80.7","18.0","21.2","19.7","5.8","7.2","6.7"
"2007/2009","78.5","83.0","80.8","18.2","21.3","19.9","5.8","7.2","6.7"
"2008/2010","78.8","83.3","81.1","18.4","21.5","20.1","6.0","7.3","6.8"
"2009/2011","79.1","83.5","81.4","18.6","21.6","20.3","6.1","7.4","6.9"
"2010/2012","79.4","83.6","81.6","18.8","21.8","20.4","6.2","7.5","7.0"
"2011/2013","79.6","83.8","81.7","19.0","21.9","20.5","6.3","7.5","7.1"
"2012/2014","79.7","83.9","81.8","19.1","22.0","20.6","6.3","7.6","7.1"
"2013/2015","79.8","83.9","81.9","19.2","22.0","20.7","6.4","7.6","7.2"
"2014/2016","79.9","84.0","82.0","19.3","22.1","20.8","6.5","7.7","7.3"
