"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"swansea city","2001-02","third division","31","7","2","1","1","0","1","0","35","8"
"swansea city","total","total","31","7","2","1","1","0","1","0","35","8"
"gillingham","2002-03","first division","30","3","3","1","1","0","-","-","34","4"
"gillingham","2003-04","first division","41","5","1","1","3","0","-","-","45","6"
"gillingham","2004-05","championship","35","2","0","0","1","1","-","-","36","3"
"gillingham","total","total","106","10","4","2","5","1","0","0","115","13"
"stoke city","2005-06","championship","42","6","4","1","1","0","-","-","47","7"
"stoke city","2006-07","championship","43","9","2","0","1","0","-","-","46","9"
"stoke city","2007-08","championship","35","4","1","0","1","0","-","-","37","4"
"stoke city","2008-09","premier league","22","3","0","0","2","1","-","-","24","4"
"stoke city","2009-10","premier league","24","2","5","0","1","0","-","-","30","2"
"stoke city","2010-11","premier league","2","0","0","0","0","0","-","-","2","0"
"stoke city","2011-12","premier league","0","0","0","0","0","0","-","-","0","0"
"stoke city","2012-13","premier league","0","0","0","0","0","0","-","-","0","0"
"stoke city","total","total","168","24","12","1","6","1","0","0","186","26"
"sheffield wednesday","2012-13","championship","9","1","0","0","0","0","-","-","9","1"
"tranmere rovers","2012-13","league one","10","0","0","0","0","0","-","-","10","0"
"cska sofia","2013-14","a pfg","11","1","4","1","-","-","15","2","none","none"
"career total","career total","career total","335","43","22","5","12","2","1","0","370","50"
