"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","us","can","aus","aut","fra","ger","irl","jpn","nld","nor","nz","swe","swi","uk","certifications"
"ember to inferno","released: october 14, 2003 label: lifeforce format: cd","-","-","-","-","-","-","-","-","-","-","-","-","-","-","none"
"ascendancy","released: march 15, 2005 label: roadrunner format: cd","151","-","-","-","-","-","-","-","-","-","-","-","-","79","bpi: gold"
"the crusade","released: october 10, 2006 label: roadrunner formats: cd, 2lp","25","23","14","44","115","23","12","46","64","-","31","-","92","7","bpi: gold"
"shogun","released: september 30, 2008 label: roadrunner formats: cd, 2lp, cd+dvd, dl","23","19","4","30","75","27","30","17","49","34","28","-","42","17","none"
"in waves","released: august 9, 2011 label: roadrunner formats: cd, 2lp, cd+dvd, dl","13","32","9","17","74","8","26","28","44","21","12","56","24","16","none"
"vengeance falls","released: october 15, 2013 label: roadrunner formats: cd, lp, dl","15","12","8","10","78","10","39","18","-","-","25","-","27","23","none"
"silence in the snow","released: october 2, 2015 label: roadrunner formats: cd, lp, dl","19","8","7","11","81","13","33","41","80","-","21","-","19","19","none"
"the sin and the sentence","released: october 20, 2017 label: roadrunner formats: cd, 2lp, dl","23","11","4","10","71","12","35","59","117","-","33","-","21","18","none"
""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region"
