"","total children","total children","total children in foster care","total children in foster care"
"","aboriginal","non-aboriginal","aboriginal","non-aboriginal"
"","percent","percent","percent","percent"
"canada","7.0","93.0","48.1","51.9"
"newfoundland and labrador","10.7","89.3","28.0","72.0"
"prince edward island","2.7","97.3","0.0","100.0"
"nova scotia","5.9","94.1","23.9","76.1"
"new brunswick","5.0","95.0","28.8","71.2"
"quebec","2.7","97.3","15.4","84.6"
"ontario","3.4","96.6","25.5","74.5"
"manitoba","27.6","72.4","84.6","15.4"
"saskatchewan","27.4","72.6","87.0","13.0"
"alberta","9.8","90.2","73.4","26.6"
"british columbia","9.0","91.0","56.0","44.0"
"yukon","33.0","67.0","100.0","0.0"
"northwest territories","66.8","33.2","93.8","6.3"
"nunavut","95.5","4.5","100.0","0.0"
