"club","season","league","league","league play-off","league play-off","dutch cup","dutch cup","europe","europe","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ajax","1929-30","18","21","8","9","1","0","-","-","27","30"
"ajax","1930-31","15","22","8","12","0","0","-","-","23","34"
"ajax","1931-32","17","27","7","14","0","0","-","-","24","41"
"ajax","1932-33","18","24","0","0","0","0","-","-","18","24"
"ajax","1933-34","10","16","10","12","0","0","-","-","20","28"
"ajax","1934-35","18","21","6","3","0","0","-","-","24","24"
"ajax","1935-36","16","22","6","3","1","0","-","-","23","25"
"ajax","1936-37","17","22","8","8","0","0","-","-","25","30"
"ajax","1937-38","14","16","0","0","0","0","-","-","14","16"
"ajax","1938-39","15","10","8","3","0","0","-","-","23","13"
"ajax","1939-40","10","8","0","0","0","0","-","-","10","8"
"ajax","1941-42","6","4","0","0","0","0","-","-","6","4"
"ajax","1942-43","3","1","0","0","0","0","-","-","3","1"
"ajax","total","177","214","61","64","2","0","-","-","240","278"
