"","gaspesie iles-de-la-madeleine","gaspesie iles-de-la-madeleine","estrie","estrie","montegerie","montegerie","montreal - laval","montreal - laval","laurentides","laurentides","outaouais","outaouais","abitibi-temiscamingue nord-du-quebec","abitibi-temiscamingue nord-du-quebec"
"","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"class of worker","","","","","","","","","","","","","",""
"did not work in 2010","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"employee","96.5","97.1","91.2","94.1","88.8","95.1","90.4","94.6","91.0","94.2","91.4","95.7","96.0","96.0"
"unpaid family worker","0.0","0.0","0.0","0.0","0.4","0.2","0.4","0.2","0.0","0.1","0.0","0.2","0.0","0.3"
"self-employed, incorporated","0.0","1.7","3.3","2.9","5.9","2.5","5.6","2.9","5.2","2.7","2.9","1.9","0.0","2.0"
"self-employed, non-incorporated","0.0","1.2","5.5","2.8","4.9","2.1","3.6","2.3","3.6","2.9","5.4","2.3","2.8","1.8"
"subgroups of the agri-food sector","","","","","","","","","","","","","",""
"input and service supply","0.0","1.0","4.9","2.4","3.1","2.7","0.3","0.4","2.4","1.3","0.7","0.2","0.0","1.2"
"food, beverage, and tobacco processing","28.9","35.9","11.0","9.8","12.4","23.3","10.7","14.5","11.7","12.7","5.7","4.7","0.0","4.3"
"food retail and wholesale","36.8","34.7","26.9","37.2","29.7","34.4","27.6","35.5","27.1","40.6","24.0","40.8","62.7","44.6"
"food service","33.3","28.3","57.7","50.4","54.7","39.6","61.3","49.6","59.0","45.4","69.8","54.0","37.3","49.9"
