"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"san martin","2008-09","primera division","1","0","0","0","-","-","0","0","1","0"
"san martin","2009-10","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"san martin","2010-11","primera b nacional","3","0","0","0","-","-","0","0","3","0"
"san martin","2011-12","torneo argentino a","0","0","0","0","-","-","0","0","0","0"
"san martin","total","total","5","0","0","0","-","-","0","0","5","0"
"san jorge","2011-12","torneo argentino b","31","1","0","0","-","-","2","2","33","3"
"san jorge","2012-13","torneo argentino a","30","6","1","0","-","-","2","0","33","6"
"san jorge","total","total","61","7","1","0","-","-","4","2","66","9"
"guarani antonio franco","2013-14","torneo argentino a","24","3","0","0","-","-","6","1","30","4"
"guarani antonio franco","2014","primera b nacional","20","1","0","0","-","-","0","0","20","1"
"guarani antonio franco","2015","primera b nacional","35","3","0","0","-","-","0","0","35","3"
"guarani antonio franco","total","total","79","7","0","0","-","-","6","1","85","8"
"juventud unida","2016","primera b nacional","7","0","0","0","-","-","0","0","7","0"
"juventud unida","2016-17","primera b nacional","39","1","3","0","-","-","0","0","42","1"
"juventud unida","total","total","46","1","3","0","-","-","0","0","49","1"
"agropecuario","2017-18","primera b nacional","23","5","0","0","-","-","3","0","26","5"
"agropecuario","2018-19","primera b nacional","8","0","1","0","-","-","0","0","9","0"
"agropecuario","total","total","31","5","1","0","-","-","3","0","35","5"
"career total","career total","career total","222","20","5","0","-","-","13","3","240","23"
