"","once or twice","once or twice","once or twice","monthly","monthly","monthly","weekly","weekly","weekly","daily or near-daily","daily or near-daily","daily or near-daily"
"","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"","%","from","to","%","from","to","%","from","to","%","from","to"
"non-medical only (nmo) users","","","","","","","","","","","",""
"total","34.3","28.4","40.6","16.9","13.1","21.7","22.4","17.9","27.7","26.4","20.7","32.9"
"sex","","","","","","","","","","","",""
"male","26.2","20.0","33.5","17.0","11.9","23.6","25.7","19.5","33.2","31.1","23.4","40.1"
"female","46.2","36.4","56.3","16.9","11.5","24.1","17.6","11.8","25.3","19.3","12.6","28.4"
"age group","","","","","","","","","","","",""
"15 to 24","29.5","24.2","35.4","21.4","16.3","27.5","25.4","19.6","32.2","23.7","18.3","30.0"
"25 to 44","34.5","24.4","46.2","13.7","8.0","22.6","19.4","12.3","29.1","32.4","22.3","44.5"
"45 and older","43.4","30.6","57.3","16.2","9.3","26.7","24.3","15.8","35.6","16.1","9.1","26.8"
"non-medical only (nmo) users","","","","","","","","","","","",""
"total","33.2","27.3","39.7","17.2","13.3","22.0","22.8","18.2","28.1","26.8","21.1","33.4"
"sex","","","","","","","","","","","",""
"male","25.6","19.4","33.0","17.1","12.0","23.8","25.9","19.6","33.4","31.3","23.6","40.3"
"female","44.6","34.6","55.1","17.4","11.9","24.8","18.1","12.1","26.1","19.9","13.0","29.3"
"age group","","","","","","","","","","","",""
"15 to 24","27.7","22.6","33.5","22.0","16.8","28.2","26.1","20.1","33.0","24.3","18.9","30.7"
"25 to 44","33.6","23.5","45.5","13.9","8.1","22.9","19.6","12.5","29.5","32.8","22.5","45.1"
"45 and older","43.3","30.4","57.2","16.2","9.3","26.8","24.4","15.8","35.7","16.1","9.1","26.8"
"self-defined medical / non-medical (sdmnm) users","","","","","","","","","","","",""
"total","5.6","3.8","8.4","11.7","6.7","19.6","35.5","26.2","46.1","47.2","37.6","56.9"
"sex","","","","","","","","","","","",""
"male","4.7","2.7","8.1","f","..","..","36.7","25.2","50.0","51.3","38.8","63.6"
"female","8.0","4.4","14.0","f","..","..","32.6","19.2","49.6","37.3","24.1","52.6"
"age group","","","","","","","","","","","",""
"15 to 24","5.6","2.9","10.5","f","..","..","29.8","17.5","45.8","53.4","39.2","67.1"
"25 to 44","f","..","..","f","..","..","31.1","18.4","47.6","55.3","40.0","69.8"
"45 and older","6.6","3.5","12.1","f","..","..","43.9","28.4","60.6","33.7","21.2","49.0"
