"socio-demographic characteristics","women","women","women","women","men","men","men","men"
"socio-demographic characteristics","sample size","%","95% confidence interval","95% confidence interval","sample size","%","95% confidence interval","95% confidence interval"
"socio-demographic characteristics","sample size","%","from","to","sample size","%","from","to"
"age group","","","","","","","",""
"60 to 69 years","551","55.6","50.3","60.8","620","59.0","55.0","62.9"
"70 to 79 years","499","44.4","39.2","49.7","441","41.0","37.1","45.0"
"married/common-law","548","62.8","58.5","66.8","784","80.7","77.0","83.9"
"less than secondary school graduation","308","28.5","24.0","33.4","275","29.6","25.5","34.1"
"in lowest income quintile","321","28.0","24.2","32.1","228","20.4","16.6","24.7"
"white","933","85.8","79.8","90.2","930","88.4","83.0","92.3"
"has regular doctor","1021","97.9","96.6","98.7","1027","96.8","95.2","97.9"
"health behaviours","","","","","","","",""
"current smoker","108","9.9","7.6","12.8","155","14.7","12.1","17.7"
"less than 150 minutes/week in moderate-to-vigorous physical activity","657","63.9","59.5","68.2","614","57.6","53.3","61.8"
"eats fruits or vegetables less than 5 times per day","681","67.9","63.5","72.0","802","75.7","72.3","78.8"
"co-morbidity","","","","","","","",""
"overweight or obese","813","78.1","74.1","81.6","900","85.9","82.6","88.6"
"diabetes","281","25.0","22.0","28.3","353","32.9","29.1","37.0"
"chronic kidney disease","276","24.8","21.0","29.1","213","19.4","16.0","23.4"
"non-hdl cholesterol 4.3 mmol/l or more","230","22.7","19.2","26.6","168","16.3","13.8","19.3"
"cardiovascular disease","228","19.8","16.7","23.3","374","35.7","31.6","40.0"
"family history","","","","","","","",""
"high blood pressure","642","61.3","57.4","65.1","539","54.7","49.8","59.5"
"early cardiovascular disease","338","33.0","29.7","36.6","278","23.5","20.6","26.8"
"medication use","","","","","","","",""
"one antihypertensive medication","561","54.0","50.1","57.9","553","51.8","47.4","56.1"
"two antihypertensive medications","362","35.0","31.6","38.5","356","33.2","29.5","37.1"
"three or more antihypertensive medications","127","11.0","8.6","13.9","152","15.1","12.1","18.6"
"medication type","","","","","","","",""
"diuretic","341","31.5","27.4","35.9","221","19.8","16.2","23.8"
"calcium channel antagonist","314","29.8","25.7","34.3","310","29.3","24.7","34.4"
"agent acting on renin-angiotension system","719","68.4","64.7","71.9","840","80.1","77.3","82.7"
"beta-blocker","294","27.7","24.4","31.4","356","34.6","30.5","38.9"
"non-steroidal anti-inflammatory and antirheumatic","246","24.1","20.9","27.7","169","14.3","12.2","16.8"
