"","area of agricultural land","cropland","cropland","natural land for pasture","natural land for pasture","woodlands and wetlands","woodlands and wetlands"
"","hectares","hectares","percent","hectares","percent","hectares","percent"
"canada","64,812,723","35,350,270","54.5","14,703,330","22.7","4,897,367","7.6"
"atlantic provinces","1,063,343","430,363","40.5","65,711","6.2","450,031","42.3"
"quebec","3,341,333","1,874,760","56.1","134,147","4.0","1,057,417","31.6"
"ontario","5,126,653","3,613,821","70.5","398,538","7.8","646,578","12.6"
"manitoba","7,293,839","4,348,869","59.6","1,466,968","20.1","549,444","7.5"
"saskatchewan","24,940,023","14,728,934","59.1","4,816,782","19.3","1,009,381","4.0"
"alberta","20,436,150","9,753,849","47.7","6,435,825","31.5","893,436","4.4"
"british columbia","2,611,382","599,674","23.0","1,385,359","53.1","291,079","11.1"
