"club","season","league","league","league","national cup1","national cup1","continental2","continental2","other3","other3","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"roma","1992-93","serie a","2","0","0","0","-","-","2","0","none","none"
"roma","1993-94","serie a","8","0","2","0","-","-","10","0","none","none"
"roma","1994-95","serie a","21","4","4","3","-","-","25","7","none","none"
"roma","1995-96","serie a","28","2","1","0","7","2","-","-","36","4"
"roma","1996-97","serie a","26","5","1","0","3","0","-","-","30","5"
"roma","1997-98","serie a","30","13","6","1","-","-","36","14","none","none"
"roma","1998-99","serie a","31","12","3","1","8","3","-","-","42","16"
"roma","1999-2000","serie a","27","7","2","0","5","1","-","-","34","8"
"roma","2000-01","serie a","30","13","2","1","3","2","-","-","35","16"
"roma","2001-02","serie a","24","8","0","0","11","3","1","1","36","12"
"roma","2002-03","serie a","24","14","5","3","6","3","-","-","35","20"
"roma","2003-04","serie a","31","20","0","0","1","0","-","-","32","20"
"roma","2004-05","serie a","29","12","7","3","4","0","-","-","40","15"
"roma","2005-06","serie a","24","15","2","0","3","2","-","-","29","17"
"roma","2006-07","serie a","35","26","5","2","9","4","1","0","50","32"
"roma","2007-08","serie a","25","14","3","3","6","1","1","0","35","18"
"roma","2008-09","serie a","24","13","0","0","7","2","1","0","32","15"
"roma","2009-10","serie a","23","14","2","0","6","11","-","-","31","25"
"roma","2010-11","serie a","32","15","0","0","7","2","1","0","40","17"
"roma","2011-12","serie a","27","8","2","0","2","0","-","-","31","8"
"roma","2012-13","serie a","34","12","3","0","-","-","37","12","none","none"
"roma","2013-14","serie a","26","8","3","0","-","-","29","8","none","none"
"roma","2014-15","serie a","27","8","2","0","7","2","-","-","36","10"
"roma","2015-16","serie a","13","5","0","0","2","0","-","-","15","5"
"roma","2016-17","serie a","18","2","4","1","6","0","-","-","28","3"
"career total","career total","career total","619","250","59","18","103","38","5","1","786","307"
