"census metropolitan area","police","school system","banks","justice system and courts","media","federal parliament","major corporations"
"census metropolitan area","percent","percent","percent","percent","percent","percent","percent"
"st. john's","81","66","63","57","52","33","36"
"halifax","78","55","59","54","38","27","24"
"moncton","84","62","64","66","46","33","36"
"saint john","75","66","62","62","43","31","31"
"saguenay","76","62","52","49","41","29","28"
"quebec","72","58","50","48","40","36","28"
"sherbrooke","80","62","46","47","32","34","20"
"trois-rivieres","71","52","51","41","35","30","22"
"montreal","71","59","53","54","42","40","26"
"gatineau","76","60","63","64","47","41","32"
"ottawa","81","63","61","67","40","36","27"
"kingston","65","60","48","62","45","29","24"
"peterborough","80","62","52","55","38","40","28"
"oshawa","84","64","59","61","33","34","32"
"toronto","75","63","62","68","41","45","33"
"hamilton","83","65","61","65","42","40","38"
"st. catharines-niagara","76","62","54","60","41","33","31"
"kitchener-cambridge-waterloo","78","61","60","68","36","34","23"
"brantford","78","57","47","60","37","31","19"
"guelph","86","64","65","69","46","38","36"
"london","80","63","64","61","34","37","32"
"windsor","77","57","60","59","43","37","27"
"barrie","68","46","54","48","34","39","26"
"greater sudbury","70","64","53","52","48","36","33"
"thunder bay","71","66","56","56","45","36","28"
"winnipeg","78","65","63","52","39","39","36"
"regina","76","65","65","60","47","35","35"
"saskatoon","82","69","61","59","39","34","32"
"calgary","81","63","61","62","38","43","34"
"edmonton","76","66","61","56","37","38","29"
"kelowna","76","48","53","44","30","28","23"
"abbotsford-mission","86","70","68","62","37","40","30"
"vancouver","73","62","61","55","43","38","32"
"victoria","82","58","53","54","36","29","26"
"total - census metropolitan areas","76","62","59","60","40","39","30"
