"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fc twente","2012-13","eredivisie","6","0","0","0","-","-","6","0","none","none"
"fc twente","2014-15","eredivisie","1","0","0","0","-","-","1","0","none","none"
"fc twente","fc twente total","fc twente total","7","0","0","0","0","0","0","0","7","0"
"jong fc twente","2013-14","eerste divisie","19","10","0","0","-","-","19","10","none","none"
"jong fc twente","2014-15","eerste divisie","17","7","0","0","-","-","17","7","none","none"
"jong fc twente","jong fc twente total","jong fc twente total","36","17","0","0","0","0","0","0","36","17"
"fc dordrecht","2013-14","eerste divisie","7","0","0","0","-","-","7","0","none","none"
"nac breda","2014-15","eredivisie","9","0","0","0","-","-","3","0","12","0"
"fc oss","2015-16","eerste divisie","0","0","1","0","-","-","1","0","none","none"
"1. fc saarbrucken","2016-17","regionalliga sudwest","6","0","0","0","-","-","6","0","none","none"
"inverness caledonian thistle","2017-18","scottish championship","2","0","0","0","3","0","0","0","5","0"
"ijsselmeervogels","2018-19","tweede divisie","4","1","0","0","-","-","4","1","none","none"
"career total","career total","career total","71","18","1","0","3","0","3","0","78","11"
