"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico de rafaela","2006-07","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"atletico de rafaela","2007-08","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"atletico de rafaela","2008-09","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"atletico de rafaela","2009-10","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"atletico de rafaela","2010-11","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"atletico de rafaela","2011-12","primera division","8","0","2","0","-","-","0","0","10","0"
"atletico de rafaela","2012-13","primera division","5","0","1","0","-","-","0","0","6","0"
"atletico de rafaela","2013-14","primera division","19","1","0","0","-","-","0","0","19","1"
"atletico de rafaela","2014","primera division","4","0","1","0","-","-","0","0","5","0"
"atletico de rafaela","2015","primera division","14","1","1","0","-","-","0","0","15","1"
"atletico de rafaela","total","total","54","2","5","0","-","-","0","0","59","2"
"sportivo rivadavia","2008-09","torneo argentino c","0","0","0","0","-","-","0","0","0","0"
"sarmiento","2015","primera division","1","0","0","0","-","-","0","0","1","0"
"sarmiento","2016","primera division","10","1","0","0","-","-","0","0","10","1"
"sarmiento","2016-17","primera division","18","1","1","0","-","-","0","0","19","1"
"sarmiento","total","total","29","2","1","0","-","-","0","0","30","2"
"tigre","2017-18","primera division","14","0","0","0","-","-","0","0","14","0"
"tigre","2018-19","primera division","0","0","0","0","-","-","0","0","0","0"
"tigre","total","total","14","0","0","0","-","-","0","0","14","0"
"career total","career total","career total","97","4","6","0","-","-","0","0","103","4"
