"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"colchester united","1955-56","third division south","44","0","1","0","-","-","45","0"
"colchester united","1956-57","third division south","46","0","1","0","-","-","47","0"
"colchester united","1957-58","third division south","46","0","1","0","-","-","47","0"
"colchester united","1958-59","third division","46","0","6","0","-","-","52","0"
"colchester united","1959-60","third division","46","0","1","0","-","-","47","0"
"colchester united","1960-61","third division","45","0","2","0","2","0","49","0"
"colchester united","1961-62","fourth division","44","0","3","0","1","0","48","0"
"colchester united","1962-63","third division","34","0","1","0","2","0","37","0"
"colchester united","1963-64","third division","20","0","0","0","0","0","20","0"
"colchester united","1964-65","third division","26","0","2","0","2","0","30","0"
"career total","career total","career total","397","0","18","0","7","0","422","0"
