"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"huddersfield town","1962-63","second division","1","0","0","0","0","0","1","0"
"huddersfield town","1963-64","second division","0","0","0","0","0","0","0","0"
"huddersfield town","1964-65","second division","2","0","0","0","0","0","2","0"
"huddersfield town","1966-67","second division","2","0","0","0","0","0","2","0"
"huddersfield town","total","total","5","0","0","0","0","0","5","0"
"carlisle united","1966-67","second division","14","7","0","0","0","0","14","7"
"carlisle united","1967-68","second division","32","9","2","0","0","0","34","9"
"carlisle united","1968-69","second division","4","0","0","0","0","0","4","0"
"carlisle united","total","total","50","16","2","0","0","0","52","16"
"torquay united","1968-69","third division","14","2","0","0","0","0","14","2"
"torquay united","1969-70","third division","31","14","1","1","3","1","35","16"
"torquay united","1970-71","third division","40","17","4","2","3","1","47","20"
"torquay united","1971-72","third division","11","1","1","0","2","1","14","2"
"torquay united","total","total","96","34","6","3","8","3","104","40"
"bristol rovers","1971-72","third division","10","3","0","0","0","0","10","3"
"bristol rovers","1972-73","third division","28","10","1","0","3","2","32","12"
"bristol rovers","1973-74","third division","19","4","1","1","2","0","22","5"
"bristol rovers","1974-75","second division","13","0","0","0","2","0","15","0"
"bristol rovers","total","total","70","17","2","1","7","2","79","20"
"bournemouth","1974-75","second division","7","0","0","0","0","0","7","0"
"bournemouth","1975-76","fourth division","14","2","0","0","0","0","14","2"
"bournemouth","total","total","21","2","0","0","0","0","21","2"
"career total","career total","career total","242","69","13","4","15","5","270","78"
