"municipality","nationality","nationality","nationality","nationality","nationality","nationality","nationality","nationality","nationality","nationality","nationality","nationality","total"
"municipality","bosniaks","%","serbs","%","montenegrins","%","muslims","%","albanians","%","others","%","total"
"novi pazar","77,443","77.13","16,234","16.17","44","0.04","4,102","4.08","202","0.20","2,385","2.38","100,410"
"prijepolje","12,792","34.52","19,496","52.61","16","0.04","3,543","9.56","18","0.05","1,194","3.22","37,059"
"tutin","28,041","90.00","1,090","3.50","16","0.05","1,092","3.51","29","0.09","887","2.85","31,155"
"priboj","3,811","14.05","20,582","75.86","119","0.44","1,944","7.16","3","0.01","674","2.48","27,133"
"sjenica","19,498","73.88","5,264","19.94","15","0.06","1,234","4.68","29","0.11","352","1.33","26,392"
"nova varos","788","4.73","14,899","89.55","31","0.19","526","3.16","3","0.02","391","2.35","16,638"
"serbian sandzak","142,373","59.62","77,555","32.48","241","0.10","12,441","5.21","284","0.12","5,893","2.47","238,787"
"2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census","2011 census"
