"","average annual donation","average annual donation","average annual donation","average annual donation"
"","2013","2010","2007","2004"
"","dollars","dollars","dollars","dollars"
"total","531","470","481","469"
"men","580","491","499","504"
"women","484","451","465","438"
"age","age","age","age","age"
"15 to 19","156","136","125","102"
"20 to 24","245","169","193","208"
"25 to 34","364","322","351","364"
"35 to 44","427","454","488","434"
"45 to 54","664","502","601","580"
"55 to 64","681","660","548","586"
"65 to 74","715","625","634","616"
"75 and over","726","765","736","758"
