"characteristics","all levels of study","all levels of study","college","college","bachelor's degree holders","bachelor's degree holders","master's, doctorate and professional degree holders","master's, doctorate and professional degree holders"
"characteristics","full debt repayment","remaining debt","full debt repayment","remaining debt","full debt repayment","remaining debt","full debt repayment","remaining debt"
"proportion","35.6","64.4","34.0","66.0","35.5","64.5","38.5","61.5"
"median debt at graduation","9,926","21,936","5,823","14,978","12,542","25,319","12,820","29,815"
"employment income categories","percent","percent","percent","percent","percent","percent","percent","percent"
"no employment income","11.7","15.5","10.3","14.3","11.5","15.7","14.3","17.2"
"less than $15,000","1.4","2.1","2.3","3.3","1.3","1.7","0.5","0.9"
"$15,000 to $24,999","3.5","4.6","6.0","7.0","2.9","4.0","1.0","2.0"
"$25,000 to $44,999","23.3","28.0","40.3","43.2","19.1","24.1","7.6","10.8"
"$45,000 to $59,999","22.0","21.9","25.5","20.5","23.0","24.5","15.3","18.5"
"$60,000 to $74,999","20.7","15.8","9.5","7.9","26.8","18.6","24.4","23.2"
"$75,000 and more","17.3","12.0","6.0","3.9","15.6","11.4","37.0","27.3"
"debt size","","","","","","","",""
"less than $5,000","24.8","4.4","38.4","7.6","19.0","2.9","16.9","2.6"
"$5,000 to less than $10,000","20.4","12.5","24.3","21.3","17.8","7.6","20.0","8.7"
"$10,000 to less than $25,000","34.7","37.5","31.0","44.2","37.3","34.9","34.4","31.8"
"$25,000 or more","20.2","45.5","6.3","27.0","25.8","54.6","28.7","56.9"
"family status","","","","","","","",""
"couple, with children","16.3","18.6","16.9","18.6","12.1","14.8","23.9","27.4"
"couple, no children","28.3","26.8","25.7","21.5","26.9","27.8","34.8","33.7"
"single, with children","2.0","5.3","2.8","9.0","1.6","3.4","1.8","3.3"
"single, no children","53.3","49.2","54.6","50.9","59.4","53.9","39.4","35.7"
"province of residence in 2018","","","","","","","",""
"newfoundland","0.7","0.9","0.3","0.4","0.8","1.2","1.0","1.2"
"prince edward island","0.5","0.7","0.9","1.0","0.3","0.5","0.3","0.4"
"nova scotia","2.2","4.2","3.5","5.3","1.3","3.6","2.2","3.6"
"new brunswick","1.8","2.8","2.3","3.8","1.7","2.3","1.2","2.0"
"quebec","21.7","24.1","18.0","18.0","19.9","24.0","30.6","34.7"
"ontario","44.7","39.6","41.0","43.5","47.7","38.5","44.2","35.4"
"manitoba","2.5","2.9","3.4","2.5","2.3","3.3","1.6","2.5"
"saskatchewan","2.2","3.1","1.6","3.1","3.0","3.5","1.6","2.3"
"alberta","10.5","10.8","12.2","12.1","10.7","11.0","7.5","8.4"
"british columbia","12.0","10.7","14.9","10.3","11.4","11.7","9.2","8.9"
"territories","1.1","0.3","1.8","0.1","0.9","0.4","0.6","0.4"
"parents' level of education","","","","","","","",""
"less than high school","9.9","12.7","12.6","14.9","8.9","12.4","8.2","9.8"
"high school","20.8","25.7","25.5","30.0","20.8","24.6","14.2","20.8"
"college or trades","28.8","27.8","30.8","32.1","32.0","28.2","19.8","19.5"
"university","40.4","33.7","31.1","23.0","38.3","34.8","57.9","49.9"
"debt sources","","","","","","","",""
"government-sponsored loans","63.4","81.0","48.6","79.1","72.0","84.3","67.3","76.8"
"loans from family or friends","29.3","19.8","42.4","20.2","22.9","18.6","23.4","21.8"
"loans from bank or line of credit","21.8","33.8","22.0","24.1","18.7","33.5","27.5","51.3"
"personal characteristics","","","","","","","",""
"female","54.7","61.0","50.5","63.3","54.5","60.3","60.8","58.5"
"older than median age at graduation","37.2","47.6","45.2","48.1","32.7","48.1","34.7","45.8"
"ever been a landed immigrant","20.7","21.7","18.7","20.9","19.1","20.5","26.4","25.8"
"visible minority status","30.6","30.9","27.4","30.8","32.2","31.4","31.9","30.1"
"aboriginal status","2.2","2.4","2.9","2.5","2.5","2.7","0.5","1.5"
"has a disability","22.0","28.4","25.4","30.8","21.8","28.1","17.7","25.3"
