"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"marasgucuspor","2012-13","second league","12","3","-","-","0","0","12","3"
"marasgucuspor","2013-14","second league","14","19","-","-","0","0","14","19"
"marasgucuspor","2014-15","third league","11","8","-","-","0","0","11","8"
"marasgucuspor","2015-16","third league","19","68","-","-","0","0","19","68"
"marasgucuspor","2016-17","second league","10","4","-","-","0","0","10","4"
"marasgucuspor","total","total","66","102","-","-","0","0","66","102"
"alg spor","2017-18","second league","18","11","-","-","0","0","18","11"
"alg spor","2018-19","first league","10","4","-","-","0","0","10","4"
"alg spor","total","total","28","15","-","-","0","0","28","15"
"career total","career total","career total","94","117","-","-","0","0","94","117"
