"","previously-published average level","revised average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"average 2014 to 2016","","",""
"compensation of employees","1,024,734","1,023,127","-1,607"
"gross operating surplus","524,549","530,666","6,117"
"gross mixed income","231,338","232,080","741"
"taxes less subsidies on production","86,495","87,560","1,065"
"taxes less subsidies on products","131,021","133,227","2,205"
"gdp at market prices","1,998,951","2,006,867","7,915"
"2014","","",""
"compensation of employees","997,998","998,463","465"
"gross operating surplus","553,497","557,281","3,784"
"gross mixed income","221,340","222,458","1,118"
"taxes less subsidies on production","84,358","84,321","-37"
"taxes less subsidies on products","125,003","127,138","2,135"
"gdp at market prices","1,983,117","1,990,183","7,066"
"2015","","",""
"compensation of employees","1,025,682","1,026,914","1,232"
"gross operating surplus","511,680","515,737","4,057"
"gross mixed income","230,907","232,366","1,459"
"taxes less subsidies on production","86,079","87,853","1,774"
"taxes less subsidies on products","130,752","133,099","2,347"
"gdp at market prices","1,986,193","1,994,911","8,718"
"2016","","",""
"compensation of employees","1,050,522","1,044,005","-6,517"
"gross operating surplus","508,469","518,979","10,510"
"gross mixed income","241,768","241,415","-353"
"taxes less subsidies on production","89,048","90,507","1,459"
"taxes less subsidies on products","137,309","139,443","2,134"
"gdp at market prices","2,027,544","2,035,506","7,962"
