"characteristics","chms","chms","chms","cchs","cchs","cchs"
"characteristics","","95% confidence interval","95% confidence interval","","95% confidence interval","95% confidence interval"
"characteristics","","from","to","","from","to"
"current smoker","12.0","9.6","14.8","14.4","13.4","15.4"
"age group","","","","","",""
"12 to 29","12.44","7.1","20.9","13.9","11.9","16.0"
"30 to 49","13.27","9.0","19.1","16.3","14.7","18.1"
"50 to 79","10.2","7.9","13.1","12.7","11.4","14.2"
"sex","","","","","",""
"male","15.0","12.4","18.0","20.6","19.0","22.3"
"female","8.8","5.9","13.1","8.3","7.3","9.3"
"world region of origin","","","","","",""
"united states","10.8","5.8","19.1","15.7","12.3","19.9"
"south/central america and carribean","14.1","7.7","24.5","13.3","10.8","16.3"
"europe","13.4","9.7","18.3","17.5","16.0","19.2"
"africa","15.8","7.8","29.4","14.4","11.3","18.2"
"asia","9.4","6.6","13.4","12.3","10.9","13.8"
"period of arrival","","","","","",""
"1996 or later","12.1","8.6","16.7","13.7","12.2","15.3"
"1986 to 1995","12","7.1","19.5","15.9","13.8","18.4"
"before 1986","11.8","8.8","15.8","14.3","12.9","15.7"
"obese","12.2","9.3","15.9","13.0","12.2","13.9"
"age group","","","","","",""
"18 to 29","f","..","..","7.4","5.8","9.5"
"30 to 49","11.54","6.7","19.1","11.7","10.4","13.1"
"50 to 79","15.2","11.8","19.4","16.6","15.2","18.1"
"sex","","","","","",""
"male","12.2","8.3","17.6","14.3","12.9","15.8"
"female","12.3","8.6","17.3","11.7","10.7","12.8"
"world region of origin","","","","","",""
"united states","18.4","10.1","31.2","23.3","17.3","30.7"
"south/central america and carribean","13.3","8.2","20.9","16.9","13.8","20.4"
"europe","16.9","13.8","20.5","16.3","14.9","17.9"
"africa","14.2","6.2","29.3","18.2","14.3","22.8"
"asia","7.43","3.8","14.1","7.3","6.2","8.5"
"period of arrival","","","","","",""
"1996 or later","f","..","..","9.3","7.9","10.8"
"1986 to 1995","f","..","..","12.0","10.2","14.0"
"before 1986","16.8","13.7","20.3","13.4","15.9","18.9"
