"title","release date","chart positions","chart positions","chart positions","sales","sales"
"title","release date","oricon weekly singles chart","billboard japan hot 100","riaj digital track chart","first week","total"
"dear j","january 26, 2011","2","2","1","162,871","216,781"
"fui ni","july 13, 2011","1","1","8","90,103","115,497"
"10nen go no kimi e","april 26, 2012","2","2","3","72,911","94,059"
"1%","june 12, 2013","4","4","none","44,630","56,094"
"little","february 5, 2014","3","14","none","34,037","42,497"
"come party!","december 17, 2014","6","12","none","15,058","19,500"
"gimme gimme luv","july 1, 2015","6","17","none","14,803","none"
"hide & seek","april 20, 2016","11","38","none","9,019","none"
"#iine!","may 17, 2017","11","none","none","none","none"
"just as i am","february 28, 2018","17","none","none","none","none"
"suki. toiukoto","february 13, 2019","none","none","none","none","none"
