"year","team","games","games","receiving","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","tgt","rec","yards","avg","td","lng","att","yards","avg","td","lng","fum","lost"
"2010","pit","9","0","19","16","167","10.4","0","26","none","none","none","none","none","1","0"
"2011","pit","16","3","123","69","1,108","16.1","2","79t","7","41","5.9","0","10","0","0"
"2012","pit","13","10","105","66","787","11.9","5","60t","7","24","3.4","0","13","4","2"
"2013","pit","16","14","165","110","1,499","13.6","8","56","7","4","0.6","0","10","1","0"
"2014","pit","16","16","182","129","1,698","13.2","13","63t","4","13","3.3","0","9","2","2"
"2015","pit","16","16","195","136","1,834","13.5","10","59","3","28","9.3","0","16","3","2"
"2016","pit","15","15","155","106","1,284","12.1","12","51","3","9","3.0","0","13","0","0"
"2017","pit","14","14","140","101","1,533","15.2","9","51t","none","none","none","none","none","3","0"
"2018","pit","15","15","168","104","1,297","12.5","15","78t","none","none","none","none","none","0","0"
"career","career","130","103","1,275","837","11,207","13.4","74","79t","31","119","3.8","0","16","14","6"
