"","2013","2010","2007","2004"
"dissatified with previous volunteer experience","9","7","8","6"
"financial costs","18","17","18","15"
"did not know how to become involved","24","22","24","22"
"gave enough time already","24","17","15","15"
"health problems or not physically able","25","26","27","26"
"no interest","29","27","26","23"
"no one asked","49","45","44","40"
"prefer to give money instead","54","52","53","49"
"inability to make long-term commitment","62","62","62","58"
"did not have the time","66","67","68","67"
