"state","all r&d","","paid for by the company","","paid for by others","","state","all r&d","paid for by the company","paid for by others"
"united states","355821","","296677","","59144","","montana","225","200","25"
"alabama","1561","","875","","686","","nebraska","578","539","39"
"alaska","66","e","32","e","34","","nevada","381","329","52"
"arizona","5515","","4450","","1065","","new hampshire","1932","817","1115"
"arkansas","302","","271","","32","e","new jersey","14113","11627","2486"
"california","107982","","95020","","12962","","new mexico","502","254","249"
"colorado","4362","","3665","","698","","new york","15329","11897","3432"
"connecticut","8533","","6441","","2092","","north carolina","8572","6428","2144"
"delaware","2681","","2049","","632","","north dakota","211","191","19"
"district of columbia","299","","198","","101","","ohio","9044","6149","2895"
"florida","5816","","3788","","2028","i","oklahoma","661","605","57"
"georgia","4614","","3821","","793","i","oregon","6357","6103","254"
"hawaii","186","","123","i","63","","pennsylvania","10354","9022","1332"
"idaho","1554","","1304","","251","","rhode island","751","679","72"
"illinois","12710","","11467","","1242","","south carolina","1289","1129","160"
"indiana","6252","","5346","","906","","south dakota","139","115","24"
"iowa","2539","","1916","","623","","tennessee","1570","1345","225"
"kansas","2126","","1515","","612","","texas","17350","14790","2561"
"kentucky","1292","","763","","529","","utah","3274","2685","589"
"louisiana","400","i","325","","75","e","vermont","247","204","43"
"maine","298","","259","","39","","virginia","4486","2719","1768"
"maryland","5136","","2825","","2310","","washington","16940","16313","627"
"massachusetts","21484","","17719","","3765","","west virginia","201","158","42"
"michigan","17136","","15620","","1516","","wisconsin","4676","4052","623"
"minnesota","6820","","6290","","530","","wyoming","177","137","40"
"mississippi","216","","186","","30","e","undistributed fundsa","10504","8188","2316"
"missouri","6078","i","3737","","2341","i","","","",""
