"residing location and field of doctorate","total","employment status","employment status","employment status","employment sector","employment sector","employment sector"
"residing location and field of doctorate","total","employed","unemployeda","not in the labor forceb","educational institution","business/ industry","government"
"u.s. residing population","","","","","","",""
"all seh fields","920050","787250","14300","118500","351500","366450","69350"
"biological, agricultural, and environmental life sciences","228650","195100","4200","29350","96700","79250","19100"
"computer and information sciences","26350","24600","500","1250","9250","14400","950"
"mathematics and statistics","43400","35950","600","6850","21850","12400","1700"
"physical sciences","157100","131550","2750","22800","52150","66400","13000"
"psychology","134250","114200","1500","18600","45200","58400","10600"
"social sciences","115150","95650","1650","17850","63500","23900","8250"
"engineering","171250","151900","2500","16850","41650","98750","11500"
"health","43900","38350","600","5000","21250","12950","4150"
"non-u.s. residing population","","","","","","",""
"all seh fields","127800","119200","1450","7150","78250","29200","11800"
"biological, agricultural, and environmental life sciences","25950","24000","350","1600","15050","5800","3150"
"computer and information sciences","4450","4350","d","s","2950","1150","250"
"mathematics and statistics","8550","8050","150","350","6350","1250","400"
"physical sciences","19900","18200","300","1400","10700","5200","2350"
"psychology","5250","4800","50","400","3250","1150","400"
"social sciences","27400","25200","250","1950","17900","4850","2500"
"engineering","31700","30300","250","1150","19150","8850","2250"
"health","4600","4350","d","200","2900","950","500"
