"","sample size","moderate-to-vigorous physical activityall","moderate-to-vigorous physical activityall","moderate-to-vigorous physical activityall","moderate-to-vigorous physical activitybouts","moderate-to-vigorous physical activitybouts","moderate-to-vigorous physical activitybouts","vigorous physical activity","vigorous physical activity","vigorous physical activity","light physical activity","light physical activity","light physical activity"
"","sample size","mean","95% confidence interval","95% confidence interval","mean","95% confidence interval","95% confidence interval","mean","95% confidence interval","95% confidence interval","mean","95% confidence interval","95% confidence interval"
"","sample size","mean","from","to","mean","from","to","mean","from","to","mean","from","to"
"18 to 79 years","2372","22.5","19.8","25.1","10.5","8.7","12.4","3.0","2.4","3.5","200.1","190.7","209.5"
"males","1174","25.3","21.0","29.6","11.7","9.0","14.4","3.7","2.7","4.7","201.5","190.3","212.7"
"females","1198","19.8","16.9","22.8","9.4","7.3","11.5","2.3","1.8","2.8","198.7","188.7","208.7"
"18 to 39 years","832","26.6","22.6","30.5","11.6","8.4","14.9","3.7","2.5","4.8","203.6","188.8","218.4"
"males","406","29.3","24.2","34.3","12.7","8.3","17.0","4.4","2.3","6.5","199.7","184.4","214.9"
"females","426","24.0","18.7","29.3","10.7","7.1","14.2","2.9","1.9","4.0","207.3","184.4","230.1"
"40 to 59 years","810","22.8","19.3","26.2","10.8","8.6","13.1","3.2","2.0","4.4","212.0","205.2","218.8"
"males","400","26.3","19.8","32.8","12.4","8.8","15.9","4.1","2.0","6.2","216.0","202.2","229.9"
"females","410","19.3","15.0","23.6","9.3","6.2","12.4","2.3","1.5","3.0","208.0","196.1","219.9"
"60 to 79 years","730","15.5","13.0","18.0","8.3","6.5","10.1","1.5","1.0","2.1","175.7","164.1","187.3"
"males","368","17.1","13.9","20.3","9.0","6.5","11.6","1.9","0.9","2.8","181.0","162.4","199.6"
"females","362","14.0","10.6","17.3","7.6","5.9","9.3","1.2","0.7","1.8","170.8","154.2","187.4"
