"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"odd","2011","tippeligaen","4","0","0","0","-","-","-","-","4","0"
"odd","2012","tippeligaen","26","3","3","0","-","-","-","-","29","3"
"odd","2013","tippeligaen","30","8","3","0","-","-","-","-","33","8"
"odd","2014","tippeligaen","30","9","6","5","-","-","-","-","36","14"
"odd","total","total","90","20","12","5","-","-","-","-","102","25"
"sparta prague","2014-15","czech first league","3","0","1","0","-","-","-","-","4","0"
"sparta prague","total","total","3","0","1","0","-","-","-","-","4","0"
"slovan liberec","2015-16","czech first league","23","6","4","0","9","1","-","-","36","7"
"kasımpasa","2016-17","super lig","10","1","7","2","-","-","-","-","17","3"
"kasımpasa","total","total","33","7","11","2","9","1","-","-","53","10"
"lyngby","2017-18","danish superliga","15","2","1","0","-","-","-","-","16","2"
"lyngby","total","total","15","2","1","0","-","-","-","-","16","2"
"start","2018","eliteserien","14","3","1","1","-","-","-","-","15","4"
"start","total","total","14","3","1","1","-","-","-","-","15","4"
"valerenga","2019","eliteserien","1","0","0","0","-","-","-","-","1","0"
"valerenga","total","total","1","0","0","0","-","-","-","-","1","0"
"career total","career total","career total","156","32","26","8","9","1","-","-","191","42"
