"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"oxford united","1999-2000","second division","0","0","0","0","0","0","1","0","1","0"
"oxford united","2000-01","second division","20","0","1","0","2","0","0","0","23","0"
"oxford united","2001-02","third division","40","1","1","0","1","0","1","0","43","1"
"oxford united","2002-03","third division","18","1","2","0","1","0","1","0","22","1"
"oxford united","2003-04","third division","44","7","1","0","2","0","0","0","47","7"
"oxford united","total","total","122","9","5","0","6","0","3","0","136","9"
"sunderland","2004-05","championship","42","5","2","0","2","0","-","-","46","5"
"sunderland","2005-06","premier league","37","3","2","1","2","0","-","-","41","4"
"sunderland","2006-07","championship","45","4","1","0","1","0","-","-","47","4"
"sunderland","2007-08","premier league","27","1","1","0","0","0","-","-","28","1"
"sunderland","2008-09","premier league","34","0","1","0","3","0","-","-","38","0"
"sunderland","total","total","185","13","7","1","8","0","-","-","200","14"
"stoke city","2009-10","premier league","36","0","4","1","0","0","-","-","40","1"
"stoke city","2010-11","premier league","37","2","4","0","2","0","-","-","43","2"
"stoke city","2011-12","premier league","33","0","4","0","0","0","10","1","47","1"
"stoke city","2012-13","premier league","26","1","3","0","1","0","-","-","30","1"
"stoke city","total","total","132","3","15","1","3","0","10","1","160","5"
"middlesbrough","2013-14","championship","37","1","1","0","0","0","-","-","38","1"
"middlesbrough","2014-15","championship","18","0","2","0","2","0","3","0","25","0"
"middlesbrough","total","total","55","1","3","0","2","0","3","0","63","1"
"huddersfield town","2015-16","championship","34","0","1","0","1","0","-","-","36","0"
"huddersfield town","2016-17","championship","16","0","4","0","0","0","0","0","20","0"
"huddersfield town","2017-18","premier league","4","0","1","0","2","0","-","-","7","0"
"huddersfield town","total","total","54","0","6","0","3","0","0","0","63","0"
"career total","career total","career total","548","26","36","2","22","0","16","1","622","29"
