"","all methods","non-electronic methods","electronic methods"
"","percent","percent","percent"
"variables","","",""
"all respondents","5.5","5.8","4.1"
"destination region","","",""
"americas","8.5","8.8","5.7"
"eastern and southern europe","7.9","8.4","5.2"
"sub-saharan africa","7.2","7.6","5.2"
"north africa","6.1","6.5","4.3"
"west central asia and the middle east","6.2","6.3","4.7"
"eastern asia","2.1","2.2","1.3"
"southeast asia and oceania","4.4","4.5","3.5"
"southern asia","3.6","3.7","3.0"
"countries not eligible for official development assistance","5.8","6.2","4.6"
"amount last sent in 2017","","",""
"$100 or less","12.6","13.0","9.2"
"$101 to $200","7.0","7.1","6.1"
"$201 to $300","5.1","5.3","4.2"
"$301 to $500","3.5","3.7","2.6"
"$501 to $1,000","2.6","2.8","2.0"
"$1,001 or more","1.3","1.3","1.0"
