"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"nottingham forest","1967-68","first division","2","0","0","0","0","0","2","0"
"nottingham forest","1968-69","first division","17","1","1","0","1","0","19","1"
"nottingham forest","1969-70","first division","29","1","2","0","1","0","32","1"
"nottingham forest","1970-71","first division","29","1","2","0","1","0","32","1"
"nottingham forest","1971-72","first division","34","5","1","1","1","0","36","6"
"nottingham forest","1972-73","second division","22","3","0","0","0","0","22","3"
"nottingham forest","1973-74","second division","25","2","4","0","0","0","29","2"
"nottingham forest","1974-75","second division","38","4","5","0","2","0","45","4"
"nottingham forest","1975-76","second division","24","1","1","0","4","2","29","3"
"nottingham forest","1976-77","second division","2","0","0","0","0","0","2","0"
"nottingham forest","total","total","223","18","16","1","10","2","249","21"
"chester","1976-77","third division","28","2","5","0","0","0","33","2"
"chester","total","total","28","2","5","0","0","0","33","2"
"stoke city","1977-78","second division","33","2","0","0","1","0","34","2"
"stoke city","1978-79","second division","40","6","1","0","5","1","46","7"
"stoke city","1979-80","first division","36","2","1","0","3","0","40","2"
"stoke city","1980-81","first division","18","0","2","0","2","0","22","0"
"stoke city","total","total","127","10","4","0","11","1","142","11"
"sheffield united","1981-82","fourth division","20","1","2","0","4","0","26","1"
"sheffield united","1982-83","third division","16","1","2","0","2","1","20","2"
"sheffield united","total","total","36","2","4","0","6","1","46","3"
"blackpool","1982-83","fourth division","4","0","0","0","0","0","4","0"
"swindon town","1983-84","fourth division","7","0","0","0","1","0","8","0"
"swansea city","1984-85","third division","12","0","0","0","0","0","12","0"
"career total","career total","career total","437","32","29","1","28","4","461","37"
