"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bk forward","2005","division 2","0","0","0","0","-","-","0","0","none","none"
"bk forward","2006","division 1","0","0","0","0","-","-","0","0","none","none"
"bk forward","2007","division 1","22","2","0","0","-","-","22","2","none","none"
"bk forward","2008","division 1","13","2","0","0","-","-","13","2","none","none"
"bk forward","total","total","35","4","0","0","0","0","0","0","35","4"
"malmo ff","2008","allsvenskan","9","2","0","0","-","-","9","2","none","none"
"malmo ff","2009","allsvenskan","13","0","1","0","-","-","14","0","none","none"
"malmo ff","2010","allsvenskan","27","2","2","0","-","-","29","2","none","none"
"malmo ff","2011","allsvenskan","27","4","3","0","12","0","-","-","42","4"
"malmo ff","2012","allsvenskan","15","6","0","0","-","-","15","6","none","none"
"malmo ff","total","total","91","14","6","0","12","0","0","0","109","14"
"genclerbirligi","2012-13","super lig","29","5","3","0","-","-","32","5","none","none"
"genclerbirligi","2013-14","super lig","32","6","1","0","-","-","33","6","none","none"
"genclerbirligi","total","total","61","11","4","0","0","0","0","0","65","11"
"olympiacos","2014-15","superleague","19","2","5","3","3","0","-","-","27","5"
"olympiacos","2015-16","superleague","24","7","2","0","2","0","-","-","28","7"
"olympiacos","2016-17","superleague","0","0","0","0","2","0","-","-","2","0"
"olympiacos","total","total","43","9","7","3","7","0","0","0","57","12"
"toulouse","2016-17","ligue 1","27","2","1","1","0","0","-","-","28","3"
"toulouse","2017-18","ligue 1","20","3","3","0","0","0","2","1","25","4"
"toulouse","total","total","47","5","4","1","0","0","2","1","53","7"
"career total","career total","career total","277","43","21","4","19","0","2","1","319","48"
