"institution","all federal obligations","hhs","dod","nsf","nasa","doe","other agenciesa"
"all nonprofit institutions","5756745","4077493","730422","314187","235126","142406","257112"
"top 10 nonprofit institutions","1997323","1679420","256054","32947","1156","24987","2760"
"massachusetts general hospital","348970","338944","7157","2639","230","0","0"
"brigham and women's hospital","320660","319129","724","0","806","0","0"
"mayo clinic","238868","233435","5073","361","0","0","0"
"fred hutchinson cancer research center","232509","232091","320","99","0","0","0"
"battelle memorial institute, all locations","213463","29311","163476","5","120","18643","1909"
"sri international","157427","48712","74733","26837","0","6345","801"
"boston children's hospital","133821","130693","2572","557","0","0","0"
"dana-farber cancer institute","123760","121809","1651","300","0","0","0"
"children's hospital of philadelphia","117838","115893","0","1895","0","0","50"
"beth israel deaconess medical center, boston","110007","109404","348","255","0","0","0"
"all other nonprofit institutions","3759423","2398074","474368","281239","233970","117419","254353"
