"2006 identity group","2011 identity group","2011 identity group","2011 identity group","2011 identity group","2011 identity group"
"2006 identity group","first nationsstatus indians","first nationsnon-status indians","metis","inuit","other"
"2006 identity group","percent","percent","percent","percent","percent"
"first nations status indians","87.5","5.3","2.7","0.5","10.3"
"first nations non-status indians","3.4","22.8","3.8","0.2","3.3"
"metis","2.8","8.4","56.9","1.9","11.5"
"inuit","0.1","0.3","0.1","88.7","0.5"
"other","1.8","1.6","1.0","0.7","12.3"
"non-aboriginal","4.4","61.6","35.6","8.0","62.1"
"total","100.0","100.0","100.0","100.0","100.0"
