"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"leicester city","1968-69","first division","2","2","0","0","0","0","2","2"
"leicester city","1969-70","second division","31","8","0","0","6","1","37","9"
"leicester city","1970-71","second division","38","14","6","2","5","0","49","16"
"leicester city","1971-72","first division","30","7","3","0","1","0","34","7"
"leicester city","total","total","101","31","9","2","11","1","121","34"
"portland timbers","1981","nasl","24","9","-","-","-","-","24","9"
"west bromwich albion","1971-72","first division","11","3","0","0","0","0","11","3"
"west bromwich albion","1972-73","first division","29","3","5","0","7","1","41","4"
"west bromwich albion","1973-74","second division","15","3","0","0","2","0","15","3"
"west bromwich albion","1974-75","second division","4","0","0","0","3","1","7","1"
"west bromwich albion","1975-76","second division","31","10","4","1","4","2","39","13"
"west bromwich albion","1976-77","first division","23","6","0","0","2","0","25","6"
"west bromwich albion","1977-78","first division","19","5","6","0","0","0","25","5"
"west bromwich albion","1978-79","first division","41","18","6","5","11","1","58","24"
"west bromwich albion","1979-80","first division","29","6","2","0","5","0","36","6"
"west bromwich albion","1980-81","first division","36","10","2","0","7","1","45","11"
"west bromwich albion","total","total","279","72","28","6","48","7","255","85"
"crystal palace","1982-83","second division","11","2","0","0","0","0","11","2"
"walsall","1983-84","third division","38","13","1","0","8","2","47","15"
"port vale","1984-85","fourth division","40","17","3","2","7","2","50","21"
"port vale","1984-85","fourth division","27","5","4","1","2","0","33","6"
"port vale","total","total","67","22","7","3","9","2","83","27"
"career total","career total","career total","520","149","45","11","77","12","642","172"
