"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"atletico paranaense","2008","serie a","1","0","0","0","-","-","0","0","1","0"
"atletico paranaense","2009","serie a","16","0","0","0","-","-","8","1","24","1"
"atletico paranaense","total","total","17","0","0","0","-","-","8","1","25","1"
"santos","2010","serie a","24","1","4","1","-","-","1","1","29","3"
"santos","2011","serie a","6","0","-","-","11","0","7","0","24","0"
"santos","total","total","30","1","4","1","11","0","8","1","53","3"
"porto","2011-12","primeira liga","7","1","0","0","1","0","3","0","11","1"
"porto","2012-13","primeira liga","25","1","0","0","6","0","5","0","36","1"
"porto","2013-14","primeira liga","26","0","5","0","11","0","5","0","47","0"
"porto","2014-15","primeira liga","28","1","0","0","11","0","1","0","40","1"
"porto","2015-16","primeira liga","1","0","0","0","0","0","0","0","1","0"
"porto","total","total","87","3","5","0","29","0","14","0","135","3"
"juventus","2015-16","serie a","22","2","5","0","5","0","-","-","32","2"
"juventus","2016-17","serie a","27","3","4","0","11","0","1","0","43","3"
"juventus","2017-18","serie a","26","4","2","0","10","0","1","0","39","4"
"juventus","2018-19","serie a","29","1","2","0","9","0","1","0","41","1"
"juventus","total","total","104","10","13","0","35","0","3","0","155","10"
"career total","career total","career total","238","14","22","1","75","0","33","2","368","17"
