"types of digital goods or services","online shoppers","average expenditure"
"at least one purchase of digital goods or services","66.6","346"
"video downloads or streaming subscriptions","35.4","126"
"music downloads or streaming subscriptions","33.9","95"
"online gaming, gaming applications, game downloads or in-game purchases","18.3","253"
"other applications, software or online subscriptions","17.6","134"
"e-books, audio books or podcast books","17.1","83"
"online data-storage services","16.0","59"
"other digital goods or services ordered over the internet","10.4","304"
"digital gift cards purchased online, for online redemption","9.3","137"
"online newspapers or magazines","7.3","85"
"video or audio podcasts, excluding podcast books","5.0","22"
"online gambling","2.1","385"
