"","workers","workers","percent change in number of workers","proportion of workers aged 55 and over","proportion of workers aged 55 and over"
"","1996","2016","1996 to 2016","1996","2016"
"","number","number","percent","percent","percent"
"occupation","","","","",""
"industrial sewing machine operators","60,900","16,200","-73","11.7","41.6"
"service station attendants","41,300","16,800","-59","3.2","14.0"
"data entry clerks","82,000","34,000","-59","6.2","20.9"
"banking, insurance and other financial clerks","54,200","23,600","-56","5.8","20.0"
"supervisors, general office and administrative support workers","27,300","12,700","-54","9.4","21.9"
"accounting and related clerks","251,400","140,900","-44","9.9","26.7"
"electronics assemblers, fabricators, inspectors and testers","24,400","14,300","-42","6.5","29.0"
"labourers in wood, pulp and paper processing","35,300","21,200","-40","6.0","21.8"
"mechanical assemblers and inspectors","17,300","10,500","-40","8.4","23.0"
"couriers, messengers and door-to-door distributors","43,400","26,700","-38","7.9","30.1"
"sales and account representatives - wholesale trade","173,400","108,800","-37","12.3","25.9"
"nursery and greenhouse workers","23,500","14,800","-37","11.1","26.1"
"advertising, marketing and public relations managers","103,400","66,300","-36","10.8","12.4"
"survey interviewers and statistical clerks","25,700","17,100","-34","13.0","35.2"
"home child care providers","129,200","85,800","-34","9.7","20.3"
"managers in agriculture","226,900","152,300","-33","40.4","51.7"
"purchasing and inventory control workers","41,700","28,100","-33","7.2","21.5"
"fishermen/women","21,300","15,000","-30","13.2","31.5"
"supervisors, finance and insurance office workers","26,100","18,500","-29","6.6","22.6"
"labourers in metal fabrication","18,400","13,300","-28","7.7","21.2"
"mail, postal and related workers","39,000","28,100","-28","11.7","32.9"
"machining tool operators","14,500","10,600","-27","9.1","24.3"
"tailors, dressmakers, furriers and milliners","21,600","16,200","-25","22.4","47.9"
"customer services representatives - financial institutions","95,100","73,200","-23","3.8","16.2"
"butchers, meat cutters and fishmongers - retail and wholesale","24,400","18,800","-23","10.4","26.4"
