"length of sentenced custody","single-charge cases","single-charge cases","multiple-charge cases","multiple-charge cases","total guilty cases","total guilty cases"
"length of sentenced custody","number","percent","number","percent","number","percent"
"intimate partner violence (ipv) cases","","","","","",""
"1 month or less","2,397","58","15,050","51","17,447","52"
"more than 1 month to 3 months","1,113","27","6,829","23","7,942","24"
"more than 3 months to 6 months","303","7","2,827","10","3,130","9"
"more than 6 months to 12 months","93","2","1,119","4","1,212","4"
"more than 12 months to less than 2 years","34","1","425","1","459","1"
"2 years or more","36","1","480","2","516","2"
"unknown","144","3","2,798","9","2,942","9"
"total ipv cases sentenced to custody","4,120","100","29,528","100","33,648","100"
"non-intimate partner violence (non-ipv) cases","","","","","",""
"1 month or less","2,319","48","12,589","43","14,908","44"
"more than 1 month to 3 months","1,078","22","6,254","21","7,332","21"
"more than 3 months to 6 months","464","10","3,097","11","3,561","10"
"more than 6 months to 12 months","284","6","1,961","7","2,245","7"
"more than 12 months to less than 2 years","173","4","1,136","4","1,309","4"
"2 years or more","266","6","2,184","7","2,450","7"
"unknown","212","4","2,100","7","2,312","7"
"total non-ipv cases sentenced to custody","4,796","100","29,321","100","34,117","100"
"total cases sentenced to custody","8,916","..","58,849","..","67,765",".."
