"sense of belonging","total","municipality","municipality","municipality","demographic weight of immigrant population in neighbourhood","demographic weight of immigrant population in neighbourhood","demographic weight of immigrant population in neighbourhood"
"sense of belonging","total","central","peripheral 1st ring","peripheral 2nd ring","less than 50%","50% to less than 70%","70% or greater"
"sense of belonging","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"local community","81","79","82","82","82","80","80"
"city","86","88","86","84","86","86","86"
"province","85","83","83","88","86","83","87"
"canada","94","94","93","96","95","93","94"
"country of origin","73","72","75","73","72","73","74"
"people of same ethnicity or culture","85","83","88","84","84","83","87"
"people with same mother tongue","89","87","90","89","89","86","90"
