"","men aged","men aged","men aged","men aged","women aged","women aged","women aged","women aged"
"","17 to 24","25 to 29","30 to 54","55 to 64","17 to 24","25 to 29","30 to 54","55 to 64"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"oil-producing provinces","","","","","","","",""
"1976","81.4","89.9","90.5","71.1","58.3","39.7","34.6","23.7"
"2007","77.8","88.6","88.4","65.2","63.1","66.2","64.1","42.0"
"2014","72.5","85.6","87.5","65.9","56.6","65.8","62.6","44.5"
"1976 to 2014","-8.9","-4.3","-3.0","-5.3","-1.6","26.1","28.0","20.9"
"other provinces","","","","","","","",""
"1976","75.9","88.9","90.0","70.0","58.7","45.1","36.4","22.6"
"2007","65.2","81.6","83.2","55.5","53.1","68.7","64.1","35.4"
"2014","56.2","77.2","81.5","56.9","46.1","64.7","64.4","40.2"
"1976 to 2014","-19.8","-11.7","-8.4","-13.1","-12.6","19.7","28.0","17.6"
