"team","year","league","regular season","regular season","regular season","regular season","regular season","regular season","regular season","post season"
"team","year","league","g","w","l","t","otl","pts","finish","result"
"nf","1989-90","ohl","46","19","25","2","-","(50)","6th in emms","lost in third round"
"nf","1990-91","ohl","66","39","18","9","-","87","2nd in emms","lost in third round"
"nf","1991-92","ohl","66","39","23","4","-","82","2nd in emms","lost in third round"
"cap","1992-93","ahl","80","36","32","12","-","84","3rd in atlantic","won calder cup"
"cap","1993-94","ahl","80","32","35","13","-","77","4th in atlantic","lost in first round"
"edm","1994-95","nhl","35","12","20","3","-","(38)","5th in pacific","(fired)"
"bng","1995-96","ahl","80","39","31","7","3","88","1st in south","lost in first round"
"bng","1996-97","ahl","80","27","38","13","2","69","5th in empire state","lost in first round"
"gue","1997-98","ohl","66","42","18","6","-","90","1st in central","won j. ross robertson cup 2nd place memorial cup"
"osh","2000-01","ohl","68","20","36","7","5","52","5th in east","missed playoffs"
"osh","2001-02","ohl","68","23","33","7","5","58","4th in east","lost in first round"
"osh","2002-03","ohl","68","34","30","2","2","72","4th in east","lost in second round"
"osh","2003-04","ohl","68","30","29","8","1","69","3rd in east","lost in first round"
"bel","2004-05","ohl","68","29","29","6","4","68","3rd in east","lost in first round"
"bel","2005-06","ohl","68","32","28","-","8","72","3rd in east","lost in first round"
"bel","2006-07","ohl","68","39","24","-","5","83","1st in east","lost in third round"
"bel","2007-08","ohl","68","48","14","-","6","102","1st in east","lost in ohl finals 3rd place memorial cup"
"bel","2008-09","ohl","68","47","17","-","4","98","1st in east","lost in third round"
"bel","2009-10","ohl","68","20","40","-","8","48","5th in east","missed playoffs"
"bel","2010-11","ohl","68","21","43","-","4","46","4th in east","lost in first round"
"bel","2011-12","ohl","68","35","32","-","1","71","2nd in east","lost in first round"
"bel","2012-13","ohl","68","44","16","-","8","96","1st in east","lost in third round"
"bel","2013-14","ohl","68","23","38","-","7","53","4th in east","missed playoffs"
"bel","2014-15","ohl","68","27","33","-","8","62","4th in east","lost in first round"
"ham","2015-16","ohl","68","25","35","-","8","58","5th in east","missed playoffs"
"totals","totals","nhl","35","12","20","3","-","38","--","--"
"totals","totals","ahl","320","134","136","45","5","318","1 division title","1 calder cup"
"totals","totals","ohl","1332","636","561","51","84","-","5 division titles","1 robertson cup"
