"characteristic of victim","women","women","men","men","total","total"
"characteristic of victim","has a disability","does not have a disability","has a disability","does not have a disability","has a disability","does not have a disability"
"characteristic of victim","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population"
"age group","","","","","",""
"15 to 24","378","161","210","96","314","126"
"25 to 34","288","87","143","103","225","95"
"35 to 44","146","49","185","46","163","47"
"45 to 54","106","50","143","47","122","48"
"55 to 64","78","25","45","30","64","28"
"65 and older","13","f","25","4","18","10"
"marital status","","","","","",""
"married or common-law","86","38","71","44","79","41"
"separated, widowed, or divorced","77","51","f","48","100","50"
"single, never married","295","135","165","88","239","108"
"main activity","","","","","",""
"employed","148","67","131","64","139","65"
"retired","16","f","34","6","24","10"
"student","389","130","245","76","336","102"
"other","168","52","92","f","144","60"
"immigrant status","","","","","",""
"immigrant","72","38","f","33","80","35"
"non-immigrant","152","74","109","66","134","70"
"visible minority","","","","","",""
"visible minority","f","46","f","37","f","42"
"non-visible minority","136","70","104","62","123","66"
"aboriginal identity","","","","","",""
"aboriginal","216","223","193","80","206","144"
"non-aboriginal","133","60","101","57","120","58"
"sexual orientation","","","","","",""
"heterosexual","115","60","94","55","106","57"
"homosexual or bisexual","404","f","186","92","326","125"
"ever experienced homelessness","","","","","",""
"yes","326","123","225","147","279","137"
"no","108","61","83","51","98","56"
"experienced sexual abuse by an adult before age 15","","","","","",""
"yes","272","111","367","109","292","111"
"no","106","60","86","56","97","58"
"experienced physical abuse by an adult before age 15","","","","","",""
"yes","199","120","174","84","186","98"
"no","110","51","57","49","90","50"
"total","137","65","105","58","123","61"
