"","probability to export","probability to export","number of products","number of products","average value per product","average value per product"
"","column 1","column 2","column 3","column 4","column 5","column 6"
"immigrant-owned in t-1","","","","","",""
"coefficient","0.000","-0.004","-0.015","-0.034","0.241","0.212"
"standard error","0.002","0.002","0.025","0.025","0.047","0.049"
"exports to the region of birth","","","","","",""
"coefficient","..","0.025","..","0.126","..","0.200"
"standard error","..","0.002","..","0.037","..","0.088"
"combined effect","","","","","",""
"coefficient","..","0.022","..","0.092","..","0.412"
"standard error","..","0.003","..","0.041","..","0.089"
"number of observations","585,844","585,844","35,715","35,715","35,715","35,715"
"r-squared","0.173","0.173","0.193","0.193","0.214","0.215"
