"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"swindon town","1896-97","southern football league","4","2","0","0","4","2"
"swindon town","1897-98","southern football league","18","12","3","1","21","13"
"swindon town","1898-99","southern football league","9","9","0","0","9","9"
"swindon town","total","total","31","23","3","1","34","24"
"nottingham forest","1898-99","first division","17","7","3","0","19","7"
"nottingham forest","1899-00","first division","29","8","6","3","35","11"
"nottingham forest","1900-01","first division","31","14","3","1","34","15"
"nottingham forest","1901-02","first division","27","7","3","2","30","9"
"nottingham forest","1902-03","first division","33","24","4","2","37","26"
"nottingham forest","1903-04","first division","24","12","3","2","27","14"
"nottingham forest","1904-05","first division","26","12","2","1","43","13"
"nottingham forest","1905-06","first division","32","19","4","3","36","22"
"nottingham forest","1906-07","second division","36","21","2","1","38","22"
"nottingham forest","1907-08","first division","23","7","1","0","25","7"
"nottingham forest","1908-09","first division","34","12","3","0","37","12"
"nottingham forest","1909-10","first division","30","19","1","1","31","20"
"nottingham forest","1910-11","first division","26","11","1","1","44","12"
"nottingham forest","1911-12","second division","19","10","1","0","20","10"
"nottingham forest","1912-13","second division","34","16","1","1","35","17"
"nottingham forest","total","total","421","199","38","18","459","217"
"career total","career total","career total","452","222","41","19","493","241"
