"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wolverhampton wanderers","2004-05","championship","1","0","0","0","0","0","0","0","1","0"
"rushden & diamonds","2004-05","league two","13","3","0","0","0","0","0","0","13","3"
"sheffield united","2005-06","championship","0","0","0","0","2","0","0","0","2","0"
"port vale","2005-06","league one","10","1","1","0","0","0","1","0","12","1"
"gillingham","2005-06","league one","13","1","0","0","0","0","0","0","13","1"
"gillingham","2006-07","league one","38","7","2","1","1","0","1","1","42","9"
"gillingham","2007-08","league one","30","5","1","0","1","0","2","0","34","5"
"gillingham","2008-09","league two","26","2","4","0","1","0","0","0","31","2"
"gillingham","total","total","107","15","7","1","3","0","3","1","120","17"
"northampton town","2009-10","league two","9","0","0","0","0","0","3","0","12","0"
"gateshead","2010-11","conference national","31","7","2","0","0","0","2","0","35","7"
"gateshead","2011-12","conference national","14","0","0","0","0","0","1","0","15","0"
"gateshead","total","total","45","7","2","0","0","0","3","0","50","7"
"brackley town","2011-12","southern league premier division","12","2","0","0","0","0","0","0","12","2"
"brackley town","2012-13","conference north","28","4","0","0","0","0","1","0","29","4"
"brackley town","2013-14","conference north","26","0","5","0","0","0","0","0","31","0"
"brackley town","2014-15","conference north","6","0","0","0","0","0","0","0","6","0"
"brackley town","total","total","72","6","5","0","0","0","1","0","78","6"
"dunstable town","2014-15","southern league premier division","16","2","3","0","0","0","1","0","20","2"
"kettering town","2014-15","southern league division one central","13","1","0","0","0","0","1","0","14","1"
"kettering town","2015-16","southern league premier division","39","2","3","0","0","0","3","1","45","3"
"kettering town","2016-17","southern league premier division","40","0","4","0","0","0","3","0","47","0"
"kettering town","2017-18","southern league premier division","40","1","5","0","0","0","4","0","49","1"
"kettering town","total","total","132","4","12","0","0","0","11","1","155","5"
"corby town","2018-19","southern league division one central","37","2","5","0","0","0","1","0","43","2"
"career totals","career totals","career totals","439","40","35","1","5","0","24","2","503","43"
