"beverage","aged 1 to 8 years","aged 1 to 8 years","aged 9 to 13 years","aged 9 to 13 years","aged 14 to 18 years, male","aged 14 to 18 years, male","aged 14 to 18 years, female","aged 14 to 18 years, female"
"beverage","2004","2015","2004","2015","2004","2015","2004","2015"
"percentage of population consuming the day before","","","","","","","",""
"","%","%","%","%","%","%","%","%"
"water","73.1","88.1","75.5","90.5","76.8","88.8","73.7","86.5"
"skim, 1% or 2% milk","60.8","52.9","65.9","59.5","60.3","58.2","51.9","44.1"
"whole milk and flavoured milk","37.4","35.9","23.7","22.4","19.2","16.7","19.5","17.8"
"fruit juice","54.0","46.1","42.8","38.7","38.1","37.7","38.6","24.8"
"regular soft drinks","14.1","6.3","31.0","17.7","52.3","29.8","34.6","20.8"
"fruit drinks","36.8","14.4","43.8","19.9","32.1","14.1","32.9","12.9"
"sports drinks","0.9","f","2.6","1.7","2.8","6.0","2.1","f"
"diet soft drinks","1.6","f","5.1","2.5","3.1","2.3","7.8","2.5"
"tea","5.9","5.4","10.7","13.8","13.9","16.7","17.1","23.5"
"coffee","f","f","1.7","2.6","9.0","14.4","13.0","17.4"
"plant-based beverages","2.1","4.0","1.5","1.8","f","f","1.1","3.4"
"vegetable juice","1.8","1.2","1.9","1.4","f","f","1.9","f"
"beer and coolers","f","f","f","0.0","4.9","2.2","2.4","f"
"total beverages","98.7","99.8","99.9","100.0","100.0","100.0","100.0","99.9"
"quantity consumed in grams by consumers","","","","","","","",""
"","grams","grams","grams","grams","grams","grams","grams","grams"
"water","411","508","657","735","1,016","1,131","939","1,043"
"skim, 1% or 2% milk","399","360","438","364","519","411","387","336"
"whole milk and flavoured milk","446","366","393","288","550","368","400","363"
"fruit juice","327","266","373","313","501","429","425","314"
"regular soft drinks","302","229","422","376","718","543","515","384"
"fruit drinks","332","277","425","340","556","432","508","404"
"sports drinks","374","283","614","521","701","664","387","607"
"diet soft drinks","224","95","409","278","508","418","470","379"
"tea","313","249","390","316","579","374","471","306"
"coffee","194","f","244","244","429","371","403","304"
"plant-based beverages","421","212","379","258","500","437","292","215"
"vegetable juice","255","233","276","264","f","346","394","530"
"beer and coolers","f","f","358","0.0","1,201","709","602","328"
"total beverages","1,106","977","1,451","1,276","2,175","1,901","1,693","1,487"
